INFO	Title	Rhabdomyosarcoma (RMS) Data Dictionary									
INFO	Name	rms_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The RMS data dictionary is a consensus data schema built by an international group of pediatric rhabdomyosarcoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the International Soft Tissue Sarcoma Consortium (INSTRuCT). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableEnum	PermissibleValue	ValueDescription	ValueEnum	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
PD						D9802	Rhabdomyosarcoma: Review of the Children’s Oncology Group (COG) Soft-Tissue Sarcoma Committee Experience and Rationale for Current COG Studies. (Malempati S, Hawkins DS. Rhabdomyosarcoma: review of the Children's Oncology Group (COG) Soft-Tissue Sarcoma Committee experience and rationale for current COG studies. Pediatr Blood Cancer. 2012;59(1):5-10. doi:10.1002/pbc.24118)			New PD	
PD						D9803	Vincristine, Actinomycin, and Cyclophosphamide Compared With Vincristine, Actinomycin, and Cyclophosphamide Alternating With Vincristine, Topotecan, and Cyclophosphamide for Intermediate-Risk Rhabdomyosarcoma: Children's Oncology Group Study D9803. The purpose of this randomized study was to compare the outcome of patients with intermediate-risk rhabdomyosarcoma (RMS) treated with standard VAC (vincristine, dactinomycin, and cyclophosphamide) chemotherapy to that of patients treated with VAC alternating with vincristine, topotecan, and cyclophosphamide (VAC/VTC). (DOI: 10.1200/JCO.2009.22.3768 Journal of Clinical Oncology 27, no. 31 (November 01, 2009) 5182-5188.)			New PD	
PD						RMS2005	A Protocol For Nonmetastatic Rhabdomyosarcoma [RMS-2005]. This randomized phase III trial is studying different combination chemotherapy regimens to compare how well they work in treating young patients with nonmetastatic rhabdomyosarcoma. (ClinicalTrials.gov Identifier: NCT00379457)			New PD	
PD						MTS2008	Metastatic Rhabdomyosarcoma: Results of the European Paediatric Soft Tissue Sarcoma Study Group MTS 2008 Study and Pooled Analysis With the Concurrent BERNIE Study. This study presents the results of the MTS 2008 study with a pooled analysis including patients from the concurrent BERNIE study. (Schoot RA, Chisholm JC, Casanova M, et al. Metastatic Rhabdomyosarcoma: Results of the European Paediatric Soft Tissue Sarcoma Study Group MTS 2008 Study and Pooled Analysis With the Concurrent BERNIE Study. J Clin Oncol. 2022;40(32):3730-3740. doi:10.1200/JCO.21.02981)			New PD	
PD						ICG RMS96	Localized vaginal/uterine rhabdomyosarcoma—results of a pooled analysis from four international cooperative groups. The purpose of this study is to explore the impact of radiation therapy on local failure rate and OS when used as part of primary treatment, and to assess the use of intracavitary brachytherapy between the different cooperative groups. (Minard-Colin V, Walterhouse D, Bisogno G, et al. Localized vaginal/uterine rhabdomyosarcoma-results of a pooled analysis from four international cooperative groups. Pediatr Blood Cancer. 2018;65(9):e27096. doi:10.1002/pbc.27096)			New PD	
PD						RMS 4.99	Sequential high-dose chemotherapy for children with metastatic rhabdomyosarcoma. The RMS4.99 study was designed to explore the role of multiple sequential high-dose chemotherapy cycles administered early in the treatment of children with metastatic rhabdomyosarcoma. (Bisogno, Gianni & Ferrari, Andrea & Prete, Arcangelo & Messina, Chiara & Basso, Eleonora & Cecchetto, Giovanni & Indolfi, Paolo & Scarzello, Giovanni & D'Angelo, Paolo & De Sio, Luigi & Di Cataldo, Andrea & Carli, Modesto. (2009). Sequential high-dose chemotherapy for children with metastatic rhabdomyosarcoma. European journal of cancer (Oxford, England : 1990). 45. 3035-41. 10.1016/j.ejca.2009.08.019)			New PD	
PD						CWS-IV-2002	Pediatric Patients with Stage IV Rhabdomyosarcoma Significantly Benefit from Long-Term Maintenance Therapy: Results of the CWS-IV 2002 and the CWS DOK IV 2004-Trials. Report prognostic factors and outcome of patients receiving multimodal treatment for RMS followed by either LTMT, HDCT, or alloHSCT. In addition, we compared the prognosis of patients who received either O-TIE or CYC/VBL as LTMT. The treatment decisions are based on the choice of the treating attending physicians. (Tramsen L, Bochennek K, Sparber-Sauer M, et al. Pediatric Patients with Stage IV Rhabdomyosarcoma Significantly Benefit from Long-Term Maintenance Therapy: Results of the CWS-IV 2002 and the CWS DOK IV 2004-Trials. Cancers (Basel). 2023;15(7):2050. Published 2023 Mar 30. doi:10.3390/cancers15072050)			New PD	
PD						CWS2002P	Long-Term Clinical Outcome and Prognostic Factors of Children and Adolescents with Localized Rhabdomyosarcoma Treated on the CWS-2002P Protocol.  This trial reports the results of the prospective, non-randomized, historically controlled CWS-2002P study in patients ≤ 21 years with localized RMS developed with the aim to improve the long-term outcome by adapting the burden of therapy to risk profile and to investigate the feasibility and relation to the outcome of maintenance therapy (MT) in the high-risk groups. (Koscielniak E, Blank B, Vokuhl C, et al. Long-Term Clinical Outcome and Prognostic Factors of Children and Adolescents with Localized Rhabdomyosarcoma Treated on the CWS-2002P Protocol. Cancers (Basel). 2022;14(4):899. Published 2022 Feb 11. doi:10.3390/cancers14040899)			New PD	
PD						CWS91	Cooperative trial CWS-91 for localized soft tissue sarcoma in children, adolescents, and young adults. The purpose of this trial is to improve risk-adapted therapy for localized childhood soft tissue sarcoma within an international multicenter setting. (Dantonello TM, Int-Veen C, Harms D, et al. Cooperative trial CWS-91 for localized soft tissue sarcoma in children, adolescents, and young adults. J Clin Oncol. 2009;27(9):1446-1455. doi:10.1200/JCO.2007.15.0466)			New PD	
PD						CWS96	Treatment of children with metastatic soft tissue sarcoma with oral maintenance compared to high dose chemotherapy: report of the HD CWS-96 trial. This trial studies the efficacy of high dose therapy (HDT) versus an oral maintenance treatment (OMT) in patients with stage IV soft tissue sarcoma (STS). (Klingebiel T, Boos J, Beske F, et al. Treatment of children with metastatic soft tissue sarcoma with oral maintenance compared to high dose chemotherapy: report of the HD CWS-96 trial. Pediatr Blood Cancer. 2008;50(4):739-745. doi:10.1002/pbc.21494)			New PD	
PD						MMT95	MMT 95 Study For Rhabdomyosarcoma and Other Malignant Soft Tissue Tumors of Childhood. This randomized phase III trial is studying surgery followed by different regimens of combination chemotherapy given together with radiation therapy and/or additional surgery to compare how well they work in treating patients with soft tissue sarcoma. (ClinicalTrials.gov Identifier: NCT00002898)			New PD	
VD	TREATMENT_ARM	Enum		A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.		_undefined_	_undefined_	_undefined_			
PD						ARST0331:Regimen I	Patients received treatment in the following course sequence: 1) VAC chemotherapy comprising vincristine sulfate IV over 1 minute on day 1 of weeks 1-9 and dactinomycin IV over 1 minute and cyclophosphamide IV over 1 hour on day 1 of weeks 1, 4, 7, and 1; 2) VA chemotherapy comprising vincristine sulfate IV over 1 minute on day 1 of weeks 13-21 and dactinomycin IV over 1 minute on day 1 of weeks 13, 16, 19, and 22 (dactinomycin is omitted during radiation therapy); 3) Radiation therapy, 5 days a week, beginning on week 13 and continuing for 4-7 weeks, depending on prescribed dose.			New PD	
PD						ARST0331:Regimen II	Patients received treatment in the following course sequence: 1) VAC chemotherapy and radiation therapy as in regimen I; 2) VA chemotherapy comprising vincristine sulfate IV over 1 minute on day 1 of weeks 13-21, 25-33, and 37-45 and dactinomycin IV over 1 minute on day 1 of weeks 13, 16, 19, 22, 25, 28, 31, 34, 37, 40, 43, and 46 (dactinomycin is omitted during radiation therapy).			New PD	
PD						ARST0431:High Risk Rhabdomyosarcoma	Patients received treatment in the following course sequence: 1) Parameningeal (without intracranial extension) and paraspinal tumors receive chemotherapy starting Week 1 and begin radiation therapy at Week 20; 2) Weeks 1-6: vincristine sulfate and irinotecan hydrochloride; 3) Weeks 7-34: vincristine sulfate and irinotecan hydrochloride, Cyclophosphamide with MESNA, Doxorubicin hydrochloride, Etoposide, Ifosfamide with MESNA; 4) Weeks 35-54: vincristine sulfate, Dactinomycin, irinotecan hydrochloride and Cyclophosphamide with MESNA and Filgrastim; 5) Radiation therapy beginning at Week 20; 6) Second look conventional surgery: Surgical resection other than biopsy will be applicable for the majority of patients.			New PD	
PD						ARST0531:Arm I (Chemotherapy, Radiotherapy)	Patients randomized with the following course sequence: 1) VAC chemotherapy comprising vincristine IV over 1 minute on day 1 of weeks 1-13, 16, 19-25, 28, 31-37, and 40; 2) Dactinomycin IV over 1-5 minutes on day 1 of weeks 1, 4, 13, 16, 19, 22, 25, 28, 31, 34, 37,and 40; 3) Cyclophosphamide IV over 1 hour on day 1 of weeks 1, 4, 7, 10, 13, 16, 19, 22, 25, 28, 31, 34, 37, and 40; 4) Patients may also undergo radiotherapy 5 days a week for 4-6 weeks beginning in week 4.			New PD	
PD						ARST0531:Arm II (Chemotherapy, Radiotherapy)	Patients randomized with the following course sequence: 1) VAC chemotherapy alternating with VI chemotherapy comprising vincristine IV over 1 minute on day 1 of weeks 1-13, 16, 17, 19, 20, 22-26, 28, 31-34, 37, 38, and 40; 2) Dactinomycin IV over 1-5 minutes on day 1 of weeks 1, 13, 22, 28, 34, and 40; 3) Cyclophosphamide IV over 1 hour on day 1 of weeks 1,10, 13, 22, 28, 34, and 40; 4) Irinotecan hydrochloride IV over 1 hour on days 1-5 of weeks 4, 7, 16, 19, 25, 31, and 37; 5) Patients may also undergo radiotherapy 5 days a week for 4-6 weeks beginning in week 4.			New PD	
PD						ARST08P1:Group 1 (Chemotherapy, Radiation Therapy, Cixutumumab)	Patients randomized with the following course sequence: 1) Vincristine sulfate IV over 1 minute on day 1 of weeks 1-5, 7, 8, 11, 12, 15, 16, 20-24, 28, 29, 32, 33, 35, 38, 41-44, 47, 48, 50, and 51; 2) Irinotecan hydrochloride IV over 90 minutes on days 1-5 of weeks 1, 4, 20, 23, 47, and 50; 3) Ifosfamide IV over 1 hour and etoposide IV over 1-2 hours on days 1-5 of weeks 9, 13, 17, 26, and 30; 4) Doxorubicin hydrochloride IV over 1-15 minutes on days 1 and 2 of weeks 7, 11, 15, 28, and 32; 5) Cyclophosphamide IV over 30-60 minutes on day 1 of weeks 7, 11, 15, 28, 32, 35, 38, 41, and 44; 6) Dactinomycin IV over 1-5 minutes on day 1 of weeks 35, 38, 41, and 44; 7) Cixutumumab IV over 1 hour on day 1 of weeks 1-51; 8) Patients also undergo radiation therapy on days 1-5 of weeks 20-24.			New PD	
PD						D9602:Subgroup A	Patients received treatment in the following course sequence: 1) Vincristine plus dactinomycin (VA).			New PD	
PD						D9602:Subgroup B	Patients received treatment in the following course sequence: 1) Vincristine (VA) plus cyclophosphamide.			New PD	
PD						D9802	Patients randomized with the following course sequence: 1) Bevacizumab on day 1 or temsirolimus on days 1, 8, and 15 of each 21-day treatment cycle, together with vinorelbine on days 1 and 8, and cyclophosphamide on day 1 for a maximum of 12 cycles; 2) Local tumor control with surgery and/or radiation therapy was permitted after 6 weeks of treatment.			New PD	
PD						D9803	Patients randomized with the following course sequence: 1) Bevacizumab on day 1 or temsirolimus on days 1, 8, and 15 of each 21-day treatment cycle, together with vinorelbine on days 1 and 8, and cyclophosphamide on day 1 for a maximum of 12 cycles; 2) Local tumor control with surgery and/or radiation therapy was permitted after 6 weeks of treatment.			New PD	
PD						RMS2005	Patients randomized with the following course sequence: 1) 9 cycles of IVA +/− doxorubicin, surgery, and/or radiotherapy.			New PD	
PD						MTS2008	Patients received treatment in the following course sequence: 1) Four cycles of ifosfamide, vincristine, and actinomycin D (IVA) plus doxorubicin, five cycles of IVA, and 12 cycles of maintenance chemotherapy (low-dose cyclophosphamide and vinorelbine).			New PD	
PD						ICG RMS96	Patients received treatment in the following course sequence: 1) Radiation therapy (RT) 			New PD	
PD						RMS 4.99	Patients received treatment in the following course sequence: 1) Three cycles of initial standard chemotherapy; 2) One course of cyclophosphamide and etoposide to obtain peripheral blood stem cells (PBSC); 3) Three consecutive high-dose combinations followed by PBSC rescue; 4) Surgery and/or radiotherapy, after which a final maintenance treatment with six courses of vincristine, actinomycin D and cyclophosp.hamide was administered			New PD	
PD						CWS-IV-2002	Patients received treatment in the following course sequence: 1) Two courses of topotecan and carboplatin; 2) Two consecutive cycles of ifosfamide, vincristine, actinomycin D (I3VA), ifosfamide, vincristine, adriamycin (I3VAd), and TC			New PD	
PD						CWS2002P:LR	Patients received treatment in the following course sequence: 1) Vincristine (VCR), dactinomycin (ACTO-D)			New PD	
PD						CWS2002P:SR	Patients received treatment in the following course sequence: 1) Vincristine (VCR), dactinomycin (ACTO-D) and ifosfamide (IFO)			New PD	
PD						CWS2002P:HR	Patients received treatment in the following course sequence: 1) Vincristine (VCR), dactinomycin (ACTO-D), ifosfamide (IFO) and doxorubicin; 2) Low-dose cyclophosphamide and vinblastine maintenance therapy (MT) over 6 months.			New PD	
PD						CWS2002P:VHR	Patients received treatment in the following course sequence: 1) Vincristine (VCR), dactinomycin (ACTO-D), ifosfamide (IFO) and doxorubicin; 2) Low-dose cyclophosphamide and vinblastine maintenance therapy (MT) over 6 months.			New PD	
PD						CWS91	Patients received treatment in the following course sequence: 1) Etoposide, vincristine, dactinomycin, ifosfamide, and doxorubicin (EVAIA)			New PD	
PD						CWS96:High Dose Therapy (HDT)	Patients received treatment in the following course sequence: 1) Carboplatin, etoposide, vincristine, actinomycin D, ifosfamide, and epirubicin; 2) Cycle of thiotepa (600 mg/m2) plus cyclophosphamide (4,500 mg/m2) and melphalan (120 mg/m2) plus etoposide (1,800 mg/m2)			New PD	
PD						CWS96:Oral Maintenance Therapy (OMT)	Patients received treatment in the following course sequence: 1) Carboplatin, etoposide, vincristine, actinomycin D, ifosfamide, and epirubicin; 2) Four cycles trofosfamide (10 days 2 × 75 mg/m2/day) plus etoposide (10 days 2 × 25 mg/m2/day), and 4 cycles trofosfamide (10 days 2 × 75 mg/m2/day) plus idarubicin (10 days 4 × 5 mg/m2).			New PD	
PD						MMT95	Patients randomized with the following course sequence: 1) Ifosfamide, vincristine, and dactinomycin (IVA) or a six-drug combination (IVA plus carboplatin, epirubicin, and etoposide) both delivered over 27 weeks.			New PD	
VD	CENSOR_STATUS	Enum		Censor Status		_undefined_	_undefined_	_undefined_			
PD						Subject is censored (i.e. has had no events(s)					
PD						Subject has had one or more events					
PD						Unknown					
											
											
DD	Protocol										
TD	Time Period									New TD	
TG	One row per subject per time period type										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	SUBMITTER_ID	String		An ID provided by the data contributor that identifies a unique time period and that is referenced throughout subsequent tabels in the TIME_PERIOD_SUBMITTER_ID variables.		_undefined_	_undefined_	_undefined_		New VD	
VD	PARENT_SUBMITTER_ID	String		The SUBMITTER_ID of the time period in whose context a subsequent time period takes place. For example, multiple treatment courses occuring the "Initial Diagnosis" period would each reference the SUBMITTER_ID of the "Initial Diagnosis" period as their PARENT_SUBMITTER_ID.		_undefined_	_undefined_	_undefined_		New VD	
VD	TIME_PERIOD_TYPE	Enum		The type of time period being reported.		_undefined_	_undefined_	_undefined_		New VD	
PD						Disease Phase	The stage or period of an individual's disease.	ncit:C168878			
PD						Course	The type of protocol treatment course administered with respect to Course Timing.	ncit:C187095			
VD	DISEASE_PHASE	Enum		The phase of the cancer treatment process during which relevant observations were recorded. This variable is used across domains to frame the timing of these longitudinal observations and reduce the number of redundant variables needed to report similar concepts (see "Disease Phase Timing and Course Table" in the documentation for additional guidance).	ncit:C168878	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Disease Phase Timing].[DISEASE_PHASE] skos:exactMatch [rms_v2.0].[Time Period].[DISEASE_PHASE]	
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813			
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155			
PD						Progression	A process that manifests as the worsening of a disease over time.	ncit:C17747			
VD	COURSE	Enum		The protocol treatment "course" during which relevant observations were recorded. This variable is used across domains to frame the timing of these longitudinal observations and reduce the number of redundant variables needed to report similar concepts (see "Disease Phase Timing and Course Table" in the documentation for additional guidance).	ncit:C168807	_undefined_	_undefined_	_undefined_		[rms_v1.0].[Course Timing].[COURSE] skos:exactMatch [rms_v2.0].[Time Period].[COURSE]	
PD						Prephase	A chemotherapy treatment administered prior to the definitive chemotherapy treatment.	ncit:C168826			
PD						Induction	The first choice of treatment for a particular type of cancer.	ncit:C158876			
PD						Intensification	A second round of intense chemotherapy as part of consolidation therapy.	ncit:C173105			
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	ncit:C15679			
PD						Maintenance	Continuation of treatment for an extended period of time to prevent relapse.	ncit:C15688			
VD	TIME_PERIOD_NUMBER	Integer		This variable indicates the ordinal numbering of time periods of the same TIME_PERIOD_TYPE within its various subgroups (e.g., Relapse 1, Relapse 2, Relapse 3, etc.). The observations across domains can therefore be organized longitudinally without the need for specific dates.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Disease Phase Timing].[DISEASE_PHASE_NUMBER] skos:broadMatch [rms_v2.0].[Time Period].[TIME_PERIOD_NUMBER] | [rms_v1.0].[Course Timing].[COURSE_NUMBER] skos:broadMatch [rms_v2.0].[Time Period].[TIME_PERIOD_NUMBER]	
VD	YEAR_AT_START	Integer		The year at the start of the indicated time period.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Disease Phase Timing].[YEAR_AT_DISEASE_PHASE] skos:exactMatch [rms_v2.0].[Time Period].[YEAR_AT_START]	
VD	AGE_AT_START	Integer		The age (in days) of the patient at the start of the reported time period.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Disease Phase Timing].[AGE_AT_DISEASE_PHASE] skos:broadMatch [rms_v2.0].[Time Period].[AGE_AT_START] | [rms_v1.0].[Course Timing].[AGE_AT_COURSE_START] skos:broadMatch [rms_v2.0].[Time Period].[AGE_AT_START]	
VD	AGE_AT_END	Integer		The age (in days) of the patient at the end of the reported time period.		_undefined_	_undefined_	_undefined_		[rms_v1.0].[Course Timing].[AGE_AT_COURSE_END] skos:exactMatch [rms_v2.0].[Time Period].[AGE_AT_END]	
											
											
DD	Demographics										
TD	Demographics										
TG	One row per subject										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	SEX	Enum		The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.		_undefined_	_undefined_	_undefined_			
PD						Male	A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.	C20197			
PD						Female	A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.	C16576			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
VD	RACE	Enum		An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.		_undefined_	_undefined_	_undefined_			
PD						American Indian or Alaska Native	A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB)	C41259			
PD						Asian	A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)	C41260			
PD						Black or African American	A person having origins in any of the Black racial groups of Africa. Terms such as "Haitian" or "Negro" can be used in addition to "Black or African American". (OMB)	C16352			
PD						Multiracial	Having ancestors of several or various races.	C67109			
PD						Native Hawaiian or Other Pacific Islander	A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)	C41219			
PD						White	A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)	C41261			
PD						Other	Different than the one(s) previously specified or mentioned.	C17649			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
VD	ETHNICITY	Enum		A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.		_undefined_	_undefined_	_undefined_			
PD						Hispanic or Latino	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, "Spanish origin," can be used in addition to "Hispanic or Latino." (OMB)	C17459			
PD						Not Hispanic or Latino	A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.	C41222			
PD						Unknown	Reported as unknown by the data contributor.	C17998			
PD						Not Reported	Not provided or available.	C43234			
											
											
DD	Demographics										
TD	Survival Characteristics										
TG	One row per subject per cause of death, per treatment type, per cause of death detail										
