INFO	Title	Ewing Sarcoma (EWS) Data Dictionary									
INFO	Name	ews_v1.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v1.8									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	Ewing Sarcoma (EWS) Data Dictionary									
INFO	Total Variables	190									
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
PD						VAIA-VAIA/AEWS07P1	The treatment arm VAIA-VAIA of EWS study AEWS07P1.	ncit:C174989			
PD						EVAIA-EVAIA/AEWS07P1	The treatment arm EVAIA-EVAIA of EWS study AEWS07P1.	ncit:C174990			
											
											
DD	Protocol										
TD	Disease Phase Timing										
TG	One row per subject per disease phase(s)										
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_			
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, or a "Relapse/Progression" phase.		
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155			
PD						Progression	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.	ncit:C35571			
PD						Relapse/Progression	Either the return of the disease or the progression of the disease.	ncit:C174991			
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_			
VD	AGE_AT_DISEASE_PHASE	Number	Mandatory	Age of subject (in days) at the disease phase.	ncit:C168972	_undefined_	_undefined_	_undefined_			
VD	YEAR_AT_DISEASE_PHASE	Number	Mandatory	Year when the diagnosis was made for the disease phase.	ncit:C168823	_undefined_	_undefined_	_undefined_			
											
											
DD	Protocol										
TD	Course Timing										
TG	One row per subject per course(s)										
VD	COURSE	Code	Mandatory	The type of protocol treatment course administered.	ncit:C168807	_undefined_	_undefined_	_undefined_			
PD						Induction	The first choice of treatment for a particular type of cancer.	ncit:C158876			
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	ncit:C15679			
PD						Maintenance	Continuation of treatment for an extended period of time to prevent relapse.	ncit:C15688			
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_			
VD	AGE_AT_TXASSIGN	Number	Mandatory	Age in Days at Treatment Assignment	ncit:C175529	_undefined_	_undefined_	_undefined_			
VD	AGE_AT_COURSE_START	Number	Mandatory	Age of subject (in days) at the start of the course.	ncit:C168850	_undefined_	_undefined_	_undefined_			
VD	AGE_AT_COURSE_END	Number	Mandatory	Age of subject (in days) at the end of the course.	ncit:C168851	_undefined_	_undefined_	_undefined_			
											
											
DD	Protocol										
TD	Off Protocol Therapy/Study										
TG	One row per subject per off-protocol therapy/study per reason off										
VD	AGE_OFF	Number	Mandatory	Age of subject (in days) when subject was off therapy or study.	ncit:C172678	_undefined_	_undefined_	_undefined_			
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_			
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813			
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155			
PD						Progression	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.	ncit:C35571			
PD						Relapse/Progression	Either the return of the disease or the progression of the disease.	ncit:C174991			
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_			
VD	COURSE	Code	Mandatory	The type of protocol treatment course administered.	ncit:C168807	_undefined_	_undefined_	_undefined_			
PD						Induction	The first choice of treatment for a particular type of cancer.	ncit:C158876			
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	ncit:C15679			
PD						Maintenance	Continuation of treatment for an extended period of time to prevent relapse.	ncit:C15688			
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_			
VD	OFF_TYPE	Code	Mandatory	The code used to designate that the subject went off therapy or off the study.	ncit:C173256	_undefined_	_undefined_	_undefined_			
PD						Protocol therapy	Off Protocol Therapy	ncit:C173257			
PD						Study	No longer participating in a study; not being followed and will not be retreated.	ncit:C29851			
VD	REASON_OFF	Code	Mandatory	A coded value specifying why the subject is removed from a study.	ncit:C93611	_undefined_	_undefined_	_undefined_			
PD						Death	Specifies whether the life of an entity has ceased.	ncit:C93546	Note: If multiple reasons "off protocol therapy" or "off study", include one observation per reason.		
PD						Completion of Planned Therapy	The end of the planned treatment.	ncit:C168935			
PD						Physician Decision	A position, opinion or judgment reached after consideration by a physician with reference to subject.	ncit:C48250			
PD						Subject/Guardian Refused Further Treatment	The subject or their guardian has refused further treatment.	ncit:C168934			
PD						Disease Progression	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.	ncit:C35571			
PD						Development of SMN	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
											
											
DD	Demographics										
TD	Demographics										
TG	One row per subject										
VD	SEX	Code	Mandatory	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.	ncit:C28421	_undefined_	_undefined_	_undefined_			
PD						Male	A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.	ncit:C20197			
PD						Female	A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.	ncit:C16576			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	RACE	Code	Mandatory	A geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.	ncit:C17049	_undefined_	_undefined_	_undefined_			
PD						American Indian or Alaska Native	A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB)	ncit:C41259	Note: May not get from some european countries.		
PD						Asian	A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)	ncit:C41260			
PD						Black or African American	A person having origins in any of the Black racial groups of Africa. Terms such as "Haitian" or "Negro" can be used in addition to "Black or African American". (OMB)	ncit:C16352			
PD						Multiracial	Having ancestors of several or various races.	ncit:C67109			
PD						Native Hawaiian or Other Pacific Islander	A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)	ncit:C41219			
PD						White	A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)	ncit:C41261			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	ETHNICITY	Code	Mandatory	A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.	ncit:C16564	_undefined_	_undefined_	_undefined_			
PD						Hispanic or Latino	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, "Spanish origin," can be used in addition to "Hispanic or Latino." (OMB)	ncit:C17459			
PD						Not Hispanic or Latino	A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.	ncit:C41222			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Demographics										
TD	Medical History										
TG	One row per subject per prior medical history										
VD	MEDICAL_HISTORY	Code	Mandatory	The verbatim description of the medical history being reported.	ncit:C83118	_undefined_	_undefined_	_undefined_			
PD						Fanconi Anemia	An autosomal recessive genetic disorder characterized by bone marrow failure, skeletal abnormalities, and an increase incidence of development of neoplasias.	ncit:C62505	Note: If subject had multiple prior medical conditions, include one observation per condition.		
PD						Lynch Syndrome	An autosomal dominant hereditary neoplastic syndrome characterized by the development of colorectal carcinoma and a high risk of developing endometrial carcinoma, gastric carcinoma, ovarian carcinoma, renal pelvis carcinoma, and small intestinal carcinoma. Patients often develop colorectal carcinomas at an early age (mean, 45 years). In the majority of the cases the lesions arise from the proximal colon. At the molecular level, high-frequency microsatellite instability is present.	ncit:C8494			
PD						Breast and Ovarian Cancer	An autosomal dominant inherited syndrome caused by mutations in the BRCA1 or BRCA2 genes. Patients are at high risk of developing breast cancer, particularly before the age of fifty, high risk of developing a second primary breast cancer, and high risk of developing both breast and ovarian cancer.	ncit:C8493			
PD						Li-Fraumeni	An autosomal dominant hereditary neoplastic syndrome caused by an alteration in the p53 tumor suppressor gene. It is characterized by the development of malignant neoplasms at various anatomic sites. The malignant neoplasms associated with Li-Fraumeni syndrome include adrenal cortex carcinoma, astrocytic tumors, colorectal carcinoma, gastric carcinoma, malignant breast neoplasms, medulloblastoma, osteosarcoma, and soft tissue sarcomas.	ncit:C3476			
											
											
DD	Demographics										
TD	Survival Characteristics										
TG	One row per subject per cause of death, per cause of death detail										
VD	AGE_AT_LKSS	Number	Mandatory	Age of subject (in days) at the last known survival status.	ncit:C168844	_undefined_	_undefined_	_undefined_			
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_			
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813			
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155			
PD						Progression	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.	ncit:C35571			
PD						Relapse/Progression	Either the return of the disease or the progression of the disease.	ncit:C174991			
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_			
VD	COURSE	Code	Mandatory	The type of protocol treatment course administered.	ncit:C168807	_undefined_	_undefined_	_undefined_			
PD						Induction	The first choice of treatment for a particular type of cancer.	ncit:C158876			
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	ncit:C15679			
PD						Maintenance	Continuation of treatment for an extended period of time to prevent relapse.	ncit:C15688			
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_			
VD	LKSS	Code	Mandatory	The individual's last known survival status.	ncit:C168931	_undefined_	_undefined_	_undefined_			
PD						Alive	Showing characteristics of life; displaying signs of life.	ncit:C37987			
PD						Dead	The cessation of life.	ncit:C28554			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
VD	CAUSE_OF_DEATH	Code	Mandatory	The circumstance or condition that results in the death of a living being.	ncit:C81239	_undefined_	_undefined_	_undefined_			
PD						Disease Progression	An indication that the subject has died due to the progression of their disease.	ncit:C168970	Note: If multiple causes of death, include one observation per cause of death. However, only one cause of death can have the varaiable CAUSE_OF_DEATH_RANKING=Primary. Note: Only fill in this variable if LKSS is "Dead".		
PD						Treatment-Related Mortality	A death that is considered to be causally linked to a treatment.	ncit:C166165			
PD						Development of SMN	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	CAUSE_OF_DEATH_RANKING	Code	Mandatory	Assigning a weighted relevance to the cause of death.	ncit:C168932	_undefined_	_undefined_	_undefined_			
PD						Primary	The first significant event which ultimately led to death.	ncit:C99531	Note: There may be multiple contributory causes of death, but only one primary cause of death. Note: Only fill in this variable if LKSS is "Dead".		
PD						Contributory	Any factor contributing to the cause of death.	ncit:C168948			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Disease Attributes										
TD	Disease Characteristics										
TG	One row per subject per disease phase										
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_			
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813			
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155			
PD						Progression	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.	ncit:C35571			
PD						Relapse/Progression	Either the return of the disease or the progression of the disease.	ncit:C174991			
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_			
VD	LANSKY	Code	Optional	The play-performance scale for children is a parent-rated instrument which records usual play activity as the index of performance. It is similar to the Karnofsky Performance Scale for adults.	ncit:C38144	_undefined_	_undefined_	_undefined_			
PD						100	Full active, normal.	ncit:C69426			
PD						90	Minor restrictions in physically strenuous activity.	ncit:C69425			
PD						80	Active, but tires more quickly.	ncit:C69424			
PD						70	Both greater restriction of and less time spent in play activity.	ncit:C69423			
PD						60	Up and around, but minimal active play; keeps busy with quieter activities.	ncit:C69422			
PD						50	Gets dressed, but lies around much of the day; no active play, able to participate in all quiet play and activities.	ncit:C69421			
PD						40	Mostly in bed; participates in quiet activities.	ncit:C70542			
PD						30	In bed; needs assistance even for quiet play.	ncit:C70541			
PD						20	Often sleeping; play entirely limited to very passive activities.	ncit:C70540			
PD						10	No play; does not get out of bed.	ncit:C70539			
PD						0	Unresponsive.	ncit:C70538			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	KARNOFSKY	Code	Optional	An index designed for classifying patients 16 years of age or older by their functional impairment.	ncit:C28013	_undefined_	_undefined_	_undefined_			
PD						100	Normal; no complaints; no evidence of disease.	ncit:C105707			
PD						90	Able to carry on normal activity; minor signs or symptoms of disease.	ncit:C105709			
PD						80	Normal activity with effort; some sign or symptoms of disease.	ncit:C105710			
PD						70	Cares for self; unable to carry on normal activity or do active work.	ncit:C105711			
PD						60	Requires occasional assistance, but is able to care for most personal needs.	ncit:C105712			
PD						50	Requires considerable assistance and frequent medical care.	ncit:C105713			
PD						40	Disabled; requires special care and assistance.	ncit:C105714			
PD						30	Severely disabled; hospitalization is indicated, although death not imminent.	ncit:C105715			
PD						20	Very sick; hospitalization necessary; active support treatment is necessary.	ncit:C105716			
PD						10	Moribund; fatal processes progressing rapidly.	ncit:C105718			
PD						0	Dead.	ncit:C105720			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	GPOH_SCORE	Code	Optional	A measure of an individual's overall performance status or ability to perform their activities of daily living.	ncit:C174442	_undefined_	_undefined_	_undefined_			
PD						1 - normal, no complaint	Normal, no complaint.	ncit:C174992			
PD						2 - mild complaints, but needs no assistance	Mild complaints, but needs no assistance.	ncit:C174993			
PD						3 - age-appropriate activity severely impaired	Age-appropriate activity severely impaired.	ncit:C174994			
PD						4 - confined to bed, needs nursing care	Confined to bed, needs nursing care.	ncit:C174995			
PD						5 - needs intensive care, seriously ill, moribund	Needs intensive care, seriously ill, moribund.	ncit:C174996			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Disease Attributes										
TD	Tumor Assessment										
TG	One row per subject per tumor assessment per tumor site										
VD	AGE_AT_TUMOR_ASSESSMENT	Number	Mandatory	Age of subject (in days) at tumor assessment.	ncit:C174997	_undefined_	_undefined_	_undefined_			
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_			
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813			
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155			
PD						Progression	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.	ncit:C35571			
PD						Relapse/Progression	Either the return of the disease or the progression of the disease.	ncit:C174991			
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_			
VD	COURSE	Code	Mandatory	The type of protocol treatment course administered.	ncit:C168807	_undefined_	_undefined_	_undefined_			
PD						Induction	The first choice of treatment for a particular type of cancer.	ncit:C158876			
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	ncit:C15679			
PD						Maintenance	Continuation of treatment for an extended period of time to prevent relapse.	ncit:C15688			
VD	COURSE_NUMBER	Number	Mandatory	The type of protocol treatment course administered.	ncit:C166235	_undefined_	_undefined_	_undefined_			
VD	TUMOR_DETECTION_METHOD	Code	Optional	The technique used to administer the tumor identification assessment.	ncit:C117438	_undefined_	_undefined_	_undefined_			
PD						X-Ray	A radiographic procedure using the emission of x-rays to form an image of the structure penetrated by the radiation.	ncit:C38101	Note: If there were multiple methods, include one observation per method.		
PD						CT Scan	A method of examining structures within the body by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis.	ncit:C17204			
PD						MRI	Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide amazingly clear and detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders.	ncit:C16809			
PD						Imaging, Not Otherwise Specified	Any technology or method that aids in the visualization of any biological process, cell, tissue or organ for use in screening, diagnosis, surgical procedures or therapy.	ncit:C17369			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	TUMOR_CLASSIFICATION	Code	Mandatory	The classification of a tumor based primarily on histopathological characteristics.	ncit:C174459	_undefined_	_undefined_	_undefined_			
PD						Primary	A tumor at the original site of origin.	ncit:C8509			
PD						Metastatic	A term referring to the clinical or pathologic observation of a tumor extension from its original site of growth to another anatomic site.	ncit:C14174			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	TUMOR_TISSUE_TYPE	Code	Mandatory	The type of material sample taken from a biological entity for tumor findings assessment testing.	ncit:C119940	_undefined_	_undefined_	_undefined_			
PD						Bone	Connective tissue that forms the skeletal components of the body.	ncit:C12366			
PD						Soft Tissue	A general term comprising tissue that is not hardened or calcified; including muscle, fat, blood vessels, nerves, tendons, ligaments and fascia.	ncit:C12471			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	TUMOR_SITE	Code	Mandatory	The anatomic site of the tumor.	ncit:C157120	_undefined_	_undefined_	_undefined_			
PD						Abdomen	The portion of the body that lies between the thorax and the pelvis.	ncit:C12664			
PD						Abdominal Wall	The tissues that surround the organs that are present within the abdominal cavity. The abdominal wall tissue is composed of layers of fat, parietal peritoneum, fascia, and muscles.	ncit:C28256			
PD						Acetabulum	Two cup shaped areas, one each on the lateral side of the lower pelvis that house the head of the femur to form the ball and socket joint of the hip.	ncit:C32042			
PD						Ankle	A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus.	ncit:C32078			
PD						Axilla	The underside concavity where the arm and the shoulder are joined.	ncit:C12674			
PD						Bone Marrow	The tissue occupying the spaces of bone. It consists of blood vessel sinuses and a network of hematopoietic cells which give rise to the red cells, white cells, and megakaryocytes.	ncit:C12431			
PD						Brain	An organ composed of grey and white matter containing billions of neurons that is the center for intelligence and reasoning. It is protected by the bony cranium.	ncit:C12439			
PD						Buttock	Either of the fleshy mounds in the rear pelvic area of the human body formed by the gluteal muscles.	ncit:C89806			
PD						Calcaneum	The irregular and largest tarsal bone that forms the heel.	ncit:C32250			
PD						Carpal Bone	Any of the small bones of the wrist joint, located between the radius and the ulna and the metacarpus.	ncit:C12688			
PD						Central Nervous System	The part of the nervous system that consists of the brain, spinal cord, and meninges.	ncit:C12438			
PD						Cervical Vertebra	Any one of the seven vertebrae that start with C1, connecting the skull to the spine, and ends with C7, which joins the cervical with the thoracic spine.	ncit:C12693			
PD						Chest	The anterior side of the thorax from the neck to the abdomen. The shape of the chest is often regarded as potential insight into a disease process, as in the case of barrel chest and respiratory dysfunction.	ncit:C25389			
PD						Chest Wall	The total system of structures outside the lungs that move as a part of breathing; it includes all structures from the skin to the parietal pleura.	ncit:C62484			
PD						Clavicle	One of a pair of bones linking the scapula and the sternum. The clavicle is part of the pectoral girdle.	ncit:C12695			
PD						Coccyx	A small bone located at the bottom of the spine. The coccyx is a result of 3-5 fused rudimentary vertebrae.	ncit:C12696			
PD						Elbow	A type of hinge joint located between the forearm and upper arm.	ncit:C32497			
PD						Ethmoid Bone	A light and spongy bone that is cubical in shape. This bone is positioned at the anterior part of the cranium, sitting between the two orbits, at the roof of the nose. It consists of four parts: a horizontal or cribriform plate; a perpendicular plate; and two lateral masses or labyrinths.	ncit:C12711			
