INFO	Title	Germ Cell Tumors (GCT) Data Dictionary									
INFO	Name	gct_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The GCT data dictionary is a consensus data schema built by an international group of pediatric germ cell tumor experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the Malignant Germ Cell International Consortium (MaGIC). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
PD						TE20:BEP 3 Cycle/3 Day	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 3 cycles over 3 days			New PD	
PD						TE20:BEP 3 Cycle/5 Day	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 3 cycles over 5 days			New PD	
PD						TE20:BEP 3 Cycle/Selected 3 Day	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 3 cycles over 3 selected days			New PD	
PD						TE20:BEP 4 Cycle/3 Day	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 4 cycles over 3 days			New PD	
PD						TE20:BEP 4 Cycle/5 Day	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 4 cycles over 5 days			New PD	
PD						TE20:BEP 4 Cycle/Selected 3 Day	Patients randomized with the following course sequence: 1) Bleomycin, etoposide and cisplatin (BEP) given 4 cycles over 3 selected days			New PD	
VD	AGE_AT_CENSOR_STATUS	Integer		The age (in days) of the subject at the time of the event censor status.		_undefined_	_undefined_	_undefined_			
VD	EFS_CENSOR_STATUS	Enum		The status of individuals in a study when their outcome (event occurrence or time to event) is censored or not censored at the time of analysis or data collection. Censoring occurs when an individual has not experienced the event of interest by the end of the study period or at the time of data analysis, often because they were lost to follow-up, withdrew from the study, or the study ended before the event could occur. In event-free survival analysis, these censored individuals are included in the analysis up to the point of censoring and are essential for estimating survival probabilities and analyzing the time to events.		_undefined_	_undefined_	_undefined_			
PD						Censored	The status of a participant or subject in a study whose event or outcome of interest has not yet occurred or has not been observed within the study's follow-up period. Censoring occurs when the event of interest has not happened to a participant by the end of the study or when they are lost to follow-up before the event occurs.	ncit:C118962			
PD						Not Censored	The patient has experienced the event of interest within the study period and has reached the endpoint being evaluated, such as disease progression, relapse, recurrence, or death, and their time to event can be accurately recorded and analyzed.				
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Protocol										
TD	Time Period									New TD	
TG	One row per subject per time period type										
VD	HONEST_BROKER_SUBJECT_ID	String	1 - contributors must include, regardless of the resource cost	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	SUBMITTER_ID	String	2 - contributors should prioritize inclusion if resources are available	An ID provided by the data contributor that identifies a unique time period and that is referenced throughout subsequent tabels in the TIME_PERIOD_SUBMITTER_ID variables.		_undefined_	_undefined_	_undefined_		New VD	
VD	PARENT_SUBMITTER_ID	String	2 - contributors should prioritize inclusion if resources are available	The SUBMITTER_ID of the time period in whose context a subsequent time period takes place. For example, multiple treatment courses occuring the "Initial Diagnosis" period would each reference the SUBMITTER_ID of the "Initial Diagnosis" period as their PARENT_SUBMITTER_ID.		_undefined_	_undefined_	_undefined_		New VD	
VD	TIME_PERIOD_TYPE	Enum	2 - contributors should prioritize inclusion if resources are available	The type of time period being reported.		_undefined_	_undefined_	_undefined_		New VD	
PD						Disease Phase	The stage or period of an individual's disease.	ncit:C168878			
VD	DISEASE_PHASE	Enum	2 - contributors should prioritize inclusion if resources are available	The phase of the cancer treatment process during which relevant observations were recorded. This variable is used across domains to frame the timing of these longitudinal observations and reduce the number of redundant variables needed to report similar concepts (see "Disease Phase Timing and Course Table" in the documentation for additional guidance).	ncit:C168878	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Disease Phase Timing].[DISEASE_PHASE] skos:exactMatch [gct_v2.0].[Time Period].[DISEASE_PHASE]	
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813			
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155			
VD	TIME_PERIOD_NUMBER	Integer	2 - contributors should prioritize inclusion if resources are available	This variable indicates the ordinal numbering of time periods of the same TIME_PERIOD_TYPE within its various subgroups (e.g., Relapse 1, Relapse 2, Relapse 3, etc.). The observations across domains can therefore be organized longitudinally without the need for specific dates.		_undefined_	_undefined_	_undefined_		[gct_v1.2].[Disease Phase Timing].[DISEASE_PHASE_NUMBER] skos:exactMatch [gct_v2.0].[Time Period].[TIME_PERIOD_NUMBER]	
VD	YEAR_AT_START	Integer	2 - contributors should prioritize inclusion if resources are available	The year at the start of the indicated time period.		_undefined_	_undefined_	_undefined_		[gct_v1.2].[Disease Phase Timing].[YEAR_AT_DISEASE_PHASE] skos:exactMatch [gct_v2.0].[Time Period].[YEAR_AT_START]	
VD	AGE_AT_START	Integer	2 - contributors should prioritize inclusion if resources are available	The age (in days) of the patient at the start of the reported time period.		_undefined_	_undefined_	_undefined_		[gct_v1.2].[Disease Phase Timing].[AGE_AT_DISEASE_PHASE] skos:exactMatch [gct_v2.0].[Time Period].[AGE_AT_START]	
											
											
DD	Demographics										
TD	Demographics										
TG	One row per subject										
VD	HONEST_BROKER_SUBJECT_ID	String	1 - contributors must include, regardless of the resource cost	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	SEX	Enum		The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.	ncit:C28421	_undefined_	_undefined_	_undefined_			
PD						Male	A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.	ncit:C20197			
PD						Female	A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.	ncit:C16576			
PD						Undifferentiated	Sex could not be determined; not uniquely defined; undifferentiated.	ncit:C41438			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	RACE	Enum		An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.	ncit:C17049	_undefined_	_undefined_	_undefined_			
PD						American Indian or Alaska Native	A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB)	ncit:C41259			
PD						Asian	A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)	ncit:C41260			
PD						Black or African American	A person having origins in any of the Black racial groups of Africa. Terms such as "Haitian" or "Negro" can be used in addition to "Black or African American". (OMB)	ncit:C16352			
PD						Multiracial	Having ancestors of several or various races.	ncit:C67109			
PD						Native Hawaiian or Other Pacific Islander	A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)	ncit:C41219			
PD						White	A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)	ncit:C41261			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	ETHNICITY	Enum		A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.	ncit:C16564	_undefined_	_undefined_	_undefined_			
PD						Hispanic or Latino	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, "Spanish origin," can be used in addition to "Hispanic or Latino." (OMB)	ncit:C17459			
PD						Not Hispanic or Latino	A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.	ncit:C41222			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Demographics										
TD	Medical History										
TG	One row per subject per prior medical history										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	CONDITION	Enum		The verbatim description of the medical history being reported.	ncit:C83118	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Medical History].[MEDICAL_HISTORY] skos:exactMatch [gct_v2.0].[Medical History].[CONDITION]	
PD						Turner Syndrome	A gonadal dysgenesis syndrome occurring in phenotypic females, characterized by the absence of a part or all of one of the sex chromosomes. Signs and symptoms include short stature, webbing of neck, low-set ears, hypogonadism, and sterility.	ncit:C26900			
PD						Klinefelter Syndrome	A sex chromosome disorder caused by the presence of an extra X chromosome in the male karyotype. Affected individuals are infertile and have a small penis and testes. They tend to have tall stature and long legs and may have difficulties with speech and language development. Gynecomastia may be present.	ncit:C34752			
PD						Swyer Syndrome	A rare syndrome characterized by the presence of a small lung as a result of unilateral post-infectious bronchiolitis obliterans.	ncit:C85178			
PD						Frasier Syndrome	A condition, which typically presents during adolescence, that is caused by WT-1 mutation, and is characterized by a developmental sex disorder, FSGS, and may be associated with gonadoblastoma.	ncit:C122805			
PD						Gonadal Dysgenesis	A congenital disorder characterized by the presence of extremely hypoplastic gonads preventing the development of secondary sex characteristics	ncit:C61420			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
VD	CONDITION_STATUS	Enum				_undefined_	_undefined_	_undefined_		[gct_v1.2].[Medical History].[MEDICAL_HISTORY_STATUS] skos:exactMatch [gct_v2.0].[Medical History].[CONDITION_STATUS]	
PD						Present	Being or existing in a specified place or at the specified time.	ncit:C25626			
PD						Absent	Not existing in a specified place at a specified time.	ncit:C48190			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Demographics										
TD	Survival Characteristics										
TG	One row per subject per cause of death										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_LKSS	Integer		Age of subject (in days) at the last known survival status.	ncit:C168844	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_		New VD	
VD	LKSS	Enum		The individual's last known survival status.	ncit:C168931	_undefined_	_undefined_	_undefined_			
PD						Alive	Showing characteristics of life; displaying signs of life.	ncit:C37987			
PD						Dead	The cessation of life.	ncit:C28554			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
VD	CAUSE_OF_DEATH	Enum		The circumstance or condition that results in the death of a living being.	ncit:C81239	_undefined_	_undefined_	_undefined_			
PD						Disease Progression	An indication that the subject has died due to the progression of their disease.	ncit:C168970	Note: If multiple causes of death, include one observation per cause of death.		
PD						Treatment-Related Mortality	A death that is considered to be causally linked to a treatment.	ncit:C166165			
PD						Secondary Malignancy	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Testing										
TD	Vitals And Anthropometrics									[gct_v1.2].[Vitals] skos:exactMatch [gct_v2.0].[Vitals And Anthropometrics]	
TG	One row per subject per vital or anthropometric measurement										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_MEASUREMENT	Integer		The age (in days) of the subject when the vitals measurement was taken.	ncit:C154628	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Vitals].[AGE_AT_VITALS] skos:exactMatch [gct_v2.0].[Vitals And Anthropometrics].[AGE_AT_MEASUREMENT]	
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_		New VD	
VD	MEASUREMENT_TYPE	Enum		The measurement type of the vital sign or anthropomorphic measurement.	ncit:C49672	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Vitals].[VITALS_TEST] skos:exactMatch [gct_v2.0].[Vitals And Anthropometrics].[MEASUREMENT_TYPE]	
PD						Weight	The weight of a subject.	ncit:C81328			
PD						Height	The vertical measurement or distance from the base to the top of a subject or participant.	ncit:C164634			
VD	RESULT_TEXT	String		The string/text result of the vitals or anthropomorphic measurement.	ncit:C173522	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Vitals].[VITALS_RESULT] skos:exactMatch [gct_v2.0].[Vitals And Anthropometrics].[RESULT_TEXT]	
VD	RESULT_NUMERIC	Decimal		The numeric result of the vitals or anthropomorphic measurement.	ncit:C173268	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Vitals].[VITALS_RESULT_NUMERIC] skos:exactMatch [gct_v2.0].[Vitals And Anthropometrics].[RESULT_NUMERIC]	
VD	RESULT_UNIT	Enum		The unit of the numeric vital sign or anthropomorphic measurement.	ncit:C49675	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Vitals].[VITALS_RESULT_UNIT] skos:exactMatch [gct_v2.0].[Vitals And Anthropometrics].[RESULT_UNIT]	
PD						kg	A basic SI unit of mass. It is defined as the mass of an international prototype in the form of a platinum-iridium cylinder kept at Sevres in France. A kilogram is equal to 1,000 grams and 2.204 622 6 pounds.	ncit:C28252			
PD						cm	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.	ncit:C49668			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Testing										
TD	Laboratory Test									[gct_v1.2].[Labs] skos:exactMatch [gct_v2.0].[Laboratory Test]	
TG	One row per subject per lab test result										
VD	HONEST_BROKER_SUBJECT_ID	String		The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	AGE_AT_LAB	Integer		The age (in days) of the subject at the time of the laboratory test.	ncit:C172691	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_		New VD	
VD	CATEGORY	Enum		The category of laboratory test performed on the subject.	ncit:C83017	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Labs].[LAB_CATEGORY] skos:exactMatch [gct_v2.0].[Laboratory Test].[CATEGORY]	
PD						Cerebrospinal Fluid Analysis	A laboratory analysis of a sample of cerebrospinal fluid.	ncit:C173272			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	TEST	Enum		A medical procedure that involves testing a sample of blood, urine, or other substance from the body. Tests can help determine a diagnosis, plan treatment, check to see if treatment is working, or monitor the disease over time.	ncit:C117142	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Labs].[LAB_TEST] skos:exactMatch [gct_v2.0].[Laboratory Test].[TEST]	
PD						LDH	A quantitative measurement of the amount of lactate dehydrogenase present in a sample.	ncit:C64855			
PD						AFP	This gene plays a role in fetal progression.	ncit:C21577			
PD						β-hCG	A determination of the presence of Choriogonadotropin Beta protein.	ncit:C64851			
PD						miR-371a-3p	The human MIR371A wild-type allele is located in the vicinity of 19q13.42 and is approximately 67 bases in length. This allele, which encodes MIR371A pre-miRNA, may be involved in the regulation of target gene expression. Alteration in the expression of this gene is associated with malignant germ cell tumors.	ncit:C158711			
PD						miR-372-3p	The human MIR372 wild-type allele is located in the vicinity of 19q13.41 and is approximately 66 bases in length. This allele, which encodes MIR372 pre-miRNA, plays a role in the regulation of gene expression. Alteration in the expression of this gene is associated with development of testicular germ cell tumor and non-small cell lung cancer.	ncit:C82190			
PD						miR-373-3p	The human MIR373 wild-type allele is located in the vicinity of 19q13.41 and is approximately 68 bases in length. This allele, which encodes MIR373 pre-miRNA, plays a role in the regulation of gene expression. Alteration in the expression of this gene is associated with development of testicular germ cell tumor and breast cancer.	ncit:C82191			
PD						miR-367-3p	The determination of the amount of human microRNA 367-3p present in a sample.	ncit:C177302			
PD						miR-375-3p	Human MIR375 wild-type allele is located in the vicinity of 2q35 and is approximately 70 bases in length. This allele, which encodes MIR375 pre-miRNA, is involved in the modulation of gene expression.	ncit:C101665			
PD						cfDNA	DNA that is found in blood plasma and is not associated with cells in the circulation.	ncit:C128274			
PD						Cytology Malignant Cells	The determination of the number of malignant cells present in a sample.	ncit:C74660		New PD	
VD	SPECIMEN	Enum		The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.	ncit:C70713	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Labs].[LAB_SPEC_TYPE] skos:exactMatch [gct_v2.0].[Laboratory Test].[SPECIMEN]	
PD						Blood	A small volume of blood removed for testing or storage.	ncit:C17610			
PD						Cerebrospinal Fluid	The fluid that is contained within the brain ventricles, the subarachnoid space and the central canal of the spinal cord.	ncit:C12692			
PD						Peritoneal Fluid	A specimen of fluid from the peritoneum.	ncit:C185197			
PD						Pleural Fluid	The fluid that is ordinarily present in the pleural space. It allows for normal movement of the lungs during respiration.	ncit:C77613		New PD	
PD						Serum	A sample of serum collected for analysis.	ncit:C178987			
PD						Plasma	A specimen of plasma.	ncit:C185204			
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	METHOD	Enum		A systematic course of action that is performed in order to complete a laboratory test.	ncit:C83312	_undefined_	_undefined_	_undefined_		[gct_v1.2].[Labs].[LAB_METHOD] skos:exactMatch [gct_v2.0].[Laboratory Test].[METHOD]	
PD						MicroRNA Sequencing	A next-generation or massively parallel high-throughput DNA sequencing-based procedure that can identify and quantify the microRNA sequences present in a biological sample.	ncit:C156057			
PD						qPCR	An application of PCR that measures the products generated during each cycle of the polymerase chain reaction process in order to determine the starting amount of template in the reaction.	ncit:C51962			
PD						ddPCR	A type of digital polymerase chain reaction technique in which the sample is fractionated into thousands of tiny droplets using a water-oil emulsion droplet technology, within which individual PCR reactions occur in each droplet	ncit:C166064			
