INFO	Title	Osteosarcoma (OS) Data Dictionary									
INFO	Name	os_v2.0									
INFO	Release Notes										
INFO	Parent Data Model	pcdc_v2.0									
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)									
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/									
INFO	Disease Consortium Information	https://commons.cri.uchicago.edu/pcdc/									
INFO	Description	The OS data dictionary is a consensus data schema built by an international group of pediatric osteosarcoma experts and maintained by Data for the Common Good (D4CG) at the University of Chicago in collaboration with the Harmonization International Bone Sarcoma Consortium (HIBiSCus). It is based on the collective requirements of its contributors.									
INFO	Total Variables										
											
RowType	VariableName	DataType	Tier	VariableDescription	VariableCode	PermissibleValue	ValueDescription	ValueCode	ImplementationNotes	Mappings	Modeling Notes (ignored in processing)
PD						Non-Randomized	A clinical trial in which participants may choose or be assigned into groups by researchers. Their assignment is not random.	ncit:C93043			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	STUDY_ID	Enum	Tier 1	A sequence of characters used to identify, name, or characterize the study.	ncit:C83082	_undefined_	_undefined_	_undefined_			
PD						EURAMOS1	A Randomized Trial of the European and American Osteosarcoma Study Group to Optimize Treatment Strategies for Resectable Osteosarcoma Based on Histological Response to Pre-operative Chemotherapy. This randomized phase III trial is studying combination chemotherapy followed by surgery and two different combination chemotherapy regimens with or without PEG-interferon alfa-2b to compare how well they work in treating patients with osteosarcoma. (ClinicalTrials.gov Identifier: NCT00134030)	ncit:C180361	ConsortiumNote: also known by COG study id AOST0331		COG - priority, Natalie and Helen
PD						OS2 Trial (2011-2018)	ABCB1/P-glycoprotein Expression as Biologic Stratification Factor for Patients With Non Metastatic Osteosarcoma - Prospective Study (ISG/OS-2). This is a phase II multicentre, uncontrolled trial including patients ≤ 40 years with non-metastatic extremity high-grade osteosarcoma stratified according to P-glicoprotein expression. The main objective of the study is to evaluate the impact on event-free survival (EFS) of a multi-drug chemotherapy approach and mifamurtide treatment in patients with non-metastatic osteosarcoma of the extremities according to the expression of ABCB1/P-glycoprotein. (ClinicalTrial.gov Identifier: NCT01459484)				ISG - Paola
VD	STUDY_AGE_PRECISION	Enum				_undefined_	_undefined_	_undefined_	ConsortiumNote: this variable should only be used for ISG, to indicate that the AGE_AT variables througout are approximate. This is due to only having the birth year.	New VD	
PD						Approximated from birth year				New PD	
VD	AGE_AT_ENROLLMENT	Number	Tier 1	Age of subject (in days) when the subject enrolled in the study.	ncit:C168843	_undefined_	_undefined_	_undefined_			
VD	TREATMENT_ARM	Enum	Tier 1	A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.	ncit:C15538	_undefined_	_undefined_	_undefined_			
PD						MAP-GR	A control arm for patients receiving a regimen of methotrexate, doxorubicin and cisplatin (MAP) after good response to the MAP regimen pre-operatively.	ncit:C186769			
PD						MAP-IFN-GR	An experimental treatment arm for patients receiving a regimen of methotrexate, doxorubicin and cisplatin (MAP) plus interferon (IFN) post-operatively after good response to the MAP regimen pre-operatively.	ncit:C186770			
PD						MAP-PR	A control arm for patients receiving a regimen of methotrexate, doxorubicin and cisplatin (MAP) after poor response to the MAP regimen pre-operatively.	ncit:C186771			
PD						MAP-IE-PR	An experimental treatment arm for patients receiving a regimen of methotrexate, doxorubicin and cisplatin (MAP) plus a regimen of ifosfamide and etoposide (IE) post-operatively after poor response to the MAP regimen pre-operatively.	ncit:C186772			
PD						MAP-NR	A control arm for patients receiving a regimen of methotrexate, doxorubicin and cisplatin (MAP) with no response.	ncit:C186773			
PD						MAP	A regimen consisting of cisplatin, doxorubicin, and methotrexate that can be used in the treatment of osteosarcoma.	ncit:C67339			
PD						POSTOP-CHEMO	A treatment arm for patients receiving postoperative chemotherapy.	ncit:C186775			
PD						POSTOP-CHEMO-MIF	A treatment arm for patients receiving mifepristone as part of the postoperative chemotherapy.	ncit:C1867763			
PD						CHEMO-ZOL	A treatment arm for patients receiving chemotherapy in combination with zoledronic acid.	ncit:C186777			
PD						CHEMO					
PD						REG-ACTIVE	An experimental treatment arm for patients receiving regorafenib as the active drug.	ncit:C186778			
PD						REG-PLACEBO	A control arm for patients receiving placebo instead of the experimental drug regorafenib.	ncit:C186779			
PD						DOX	The hydrochloride salt of doxorubicin, an anthracycline antibiotic with antineoplastic activity. Doxorubicin, isolated from the bacterium Streptomyces peucetius var. caesius, is the hydroxylated congener of daunorubicin. Doxorubicin intercalates between base pairs in the DNA helix, thereby preventing DNA replication and ultimately inhibiting protein synthesis. Additionally, doxorubicin inhibits topoisomerase II which results in an increased and stabilized cleavable enzyme-DNA linked complex during DNA replication and subsequently prevents the ligation of the nucleotide strand after double-strand breakage. Doxorubicin also forms oxygen free radicals resulting in cytotoxicity secondary to lipid peroxidation of cell membrane lipids; the formation of oxygen free radicals also contributes to the toxicity of the anthracycline antibiotics, namely the cardiac and cutaneous vascular effects.	ncit:C1326			
PD						DOX-IFOS	A regimen consisting of doxorubicin and ifosfamide used for the treatment of unresectable soft tissue sarcoma.	ncit:C63686			
VD	AGE_AT_TXASSIGN	Number	Tier 1	Age of subject (in days) when their neutrophil count exceeded a threshold of 500 (ANC/mm3) during the course.	ncit:C168852	_undefined_	_undefined_	_undefined_	ConsortiumNote: use date of randomization, for non-randomized patients use enrollment date.	[os_v1.2].[Course Timing].[AGE_AT_TX_ASSIGN] skos:exactMatch [os_v2.0].[Subject Characteristics].[AGE_AT_TX_ASSIGN]	
VD	EFS_CENSOR_STATUS	Enum	Tier 1	The status of individuals in a study when their outcome (event occurrence or time to event) is censored or not censored at the time of analysis or data collection. Censoring occurs when an individual has not experienced the event of interest by the end of the study period or at the time of data analysis, often because they were lost to follow-up, withdrew from the study, or the study ended before the event could occur. In event-free survival analysis, these censored individuals are included in the analysis up to the point of censoring and are essential for estimating survival probabilities and analyzing the time to events.		_undefined_	_undefined_	_undefined_			
PD						Censored	The status of a participant or subject in a study whose event or outcome of interest has not yet occurred or has not been observed within the study's follow-up period. Censoring occurs when the event of interest has not happened to a participant by the end of the study or when they are lost to follow-up before the event occurs.	ncit:C118962			
PD						Not Censored	The patient has experienced the event of interest within the study period and has reached the endpoint being evaluated, such as disease progression, relapse, recurrence, or death, and their time to event can be accurately recorded and analyzed.				
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	AGE_AT_CENSOR_STATUS	Number	Tier 1	The age (in days) of the subject at the time of the event censor status.		_undefined_	_undefined_	_undefined_			
											
											
DD	Protocol										
TD	Time Period									New TD	
TG	One row per subject per time period type										
VD	HONEST_BROKER_SUBJECT_ID	String	1 - contributors must include, regardless of the resource cost	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_		New VD	
VD	SUBMITTER_ID	String	2 - contributors should prioritize inclusion if resources are available	An ID provided by the data contributor that identifies a unique time period and that is referenced throughout subsequent tabels in the TIME_PERIOD_SUBMITTER_ID variables.		_undefined_	_undefined_	_undefined_		New VD	
VD	PARENT_SUBMITTER_ID	String	2 - contributors should prioritize inclusion if resources are available	The SUBMITTER_ID of the time period in whose context a subsequent time period takes place. For example, multiple treatment courses occuring the "Initial Diagnosis" period would each reference the SUBMITTER_ID of the "Initial Diagnosis" period as their PARENT_SUBMITTER_ID.		_undefined_	_undefined_	_undefined_		New VD	
VD	TIME_PERIOD_TYPE	Enum	2 - contributors should prioritize inclusion if resources are available	The type of time period being reported.		_undefined_	_undefined_	_undefined_		New VD	
PD						Disease Phase	The stage or period of an individual's disease.	ncit:C168878			
PD						Course	The type of protocol treatment course administered with respect to Course Timing.	ncit:C187095			
VD	DISEASE_PHASE	Enum	2 - contributors should prioritize inclusion if resources are available	The phase of the cancer treatment process during which relevant observations were recorded. This variable is used across domains to frame the timing of these longitudinal observations and reduce the number of redundant variables needed to report similar concepts (see "Disease Phase Timing and Course Table" in the documentation for additional guidance).	ncit:C168878	_undefined_	_undefined_	_undefined_		[os_v1.2].[Disease Phase Timing].[DISEASE_PHASE] skos:exactMatch [os_v2.0].[Time Period].[DISEASE_PHASE]	
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813			
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155			
PD						Progression	A process that manifests as the worsening of a disease over time.	ncit:C17747			
PD						Relapse/Progression	Either the return of the disease or the progression of the disease.	ncit:C174991			
VD	COURSE	Enum	2 - contributors should prioritize inclusion if resources are available	The protocol treatment "course" during which relevant observations were recorded. This variable is used across domains to frame the timing of these longitudinal observations and reduce the number of redundant variables needed to report similar concepts (see "Disease Phase Timing and Course Table" in the documentation for additional guidance).	ncit:C168807	_undefined_	_undefined_	_undefined_		[os_v1.2].[Course Timing].[COURSE] skos:exactMatch [os_v2.0].[Time Period].[COURSE]	
PD						Induction	Therapy administered prior to the initial therapy.	ncit:C158708			
PD						Consolidation	Treatment that is given after initial therapy to kill any remaining cancer cells.	ncit:C15679			
PD						Maintenance	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632			
VD	TIME_PERIOD_NUMBER	Integer	2 - contributors should prioritize inclusion if resources are available	This variable indicates the ordinal numbering of time periods of the same TIME_PERIOD_TYPE within its various subgroups (e.g., Relapse 1, Relapse 2, Relapse 3, etc.). The observations across domains can therefore be organized longitudinally without the need for specific dates.		_undefined_	_undefined_	_undefined_		[os_v1.2].[Disease Phase Timing].[DISEASE_PHASE_NUMBER] skos:broadMatch [os_v2.0].[Time Period].[TIME_PERIOD_NUMBER] | [os_v1.2].[Course Timing].[COURSE_NUMBER] skos:broadMatch [os_v2.0].[Time Period].[TIME_PERIOD_NUMBER]	
VD	YEAR_AT_START	Integer	2 - contributors should prioritize inclusion if resources are available	The year at the start of the indicated time period.		_undefined_	_undefined_	_undefined_		[os_v1.2].[Disease Phase Timing].[YEAR_AT_DISEASE_PHASE] skos:exactMatch [os_v2.0].[Time Period].[YEAR_AT_START]	
VD	AGE_AT_START	Integer	2 - contributors should prioritize inclusion if resources are available	The age (in days) of the patient at the start of the reported time period.		_undefined_	_undefined_	_undefined_		[os_v1.2].[Disease Phase Timing].[AGE_AT_DISEASE_PHASE] skos:broadMatch [os_v2.0].[Time Period].[AGE_AT_START] | [os_v1.2].[Course Timing].[AGE_AT_COURSE_START] skos:broadMatch [os_v2.0].[Time Period].[AGE_AT_START]	
VD	AGE_AT_END	Integer	2 - contributors should prioritize inclusion if resources are available	The age (in days) of the patient at the end of the reported time period.		_undefined_	_undefined_	_undefined_		[os_v1.2].[Course Timing].[AGE_AT_COURSE_END] skos:exactMatch [os_v2.0].[Time Period].[AGE_AT_END]	
											
											
DD	Protocol										
TD	Off Protocol Therapy/Study										
TG	One row per subject per off-protocol therapy/study per reason off										
VD	HONEST_BROKER_SUBJECT_ID	String	Tier 1	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	AGE_OFF	Number	Tier 1	Age of subject (in days) when subject was off therapy or study.	ncit:C172678	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_			
VD	OFF_TYPE	Enum	Tier 1	The code used to designate that the subject went off therapy or off the study.	ncit:C173256	_undefined_	_undefined_	_undefined_			
PD						Protocol Therapy	No longer receiving protocol therapy.	ncit:C173257			
PD						Study	No longer participating in a study; not being followed and will not be retreated.	ncit:C29851			
VD	REASON_OFF	Enum	Tier 1	The reason a subject went off the therapy or study.	ncit:C173519	_undefined_	_undefined_	_undefined_			
PD						Death	Specifies whether the life of an entity has ceased.	ncit:C93546	Note: If multiple reasons for off "Protocol Therapy" or off "Study", include one observation per reason.		
PD						Completion of Planned Therapy	The end of the planned treatment.	ncit:C168935			
PD						Physician Decision	A position, opinion or judgment reached after consideration by a physician with reference to subject.	ncit:C48250			
PD						Subject/Guardian Refused Further Treatment	The subject or their guardian has refused further treatment.	ncit:C168934			
PD						Disease Progression	A process that manifests as the worsening of a disease over time.	ncit:C17747			
PD						Development of SMN	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968			
PD						Adverse Event	Any unfavorable or unintended disease, sign, or symptom (including an abnormal laboratory finding) that is temporally associated with the use of a medical treatment or procedure, and that may or may not be considered related to the medical treatment or procedure. Such events can be related to the intervention, dose, route of administration, patient, or caused by an interaction with another drug(s) or procedure(s).	ncit:C41331			
PD						Subject Non-Compliance	Failure of a patient to follow medical advice, take medication as directed, or adhere to a prescribed course of treatment.	ncit:C91752			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
											
											
DD	Demographics										
TD	Demographics								No AOST0331/EURAMOS1 data		
TG	One row per subject										
VD	HONEST_BROKER_SUBJECT_ID	String	Tier 1	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	SEX	Enum	Tier 1	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.	ncit:C28421	_undefined_	_undefined_	_undefined_			
PD						Male	A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.	ncit:C20197			
PD						Female	A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.	ncit:C16576			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Demographics										
TD	Medical History								No AOST0331/EURAMOS1 data		
TG	One row per subject per medical history observation										
VD	HONEST_BROKER_SUBJECT_ID	String	Tier 1	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	MEDICAL_HISTORY	Enum	Tier 3	The verbatim description of the medical history being reported.	ncit:C83118	_undefined_	_undefined_	_undefined_			
PD						Fanconi Anemia	An autosomal recessive genetic disorder characterized by bone marrow failure, skeletal abnormalities, and an increase incidence of development of neoplasias.	ncit:C62505			
PD						NF1	The most common type of neurofibromatosis. It is characterized clinically by cutaneous and subcutaneous tumors with patches of hyperpigmentation. The hyperpigmented skin areas, are present from birth and found anywhere on the body surface. They can vary markedly in size and color. The dark brown areas are called cafe-au-lait spots. The multiple cutaneous and subcutaneous tumors are nerve sheath tumors, called neurofibromas. They can develop anywhere along the peripheral nerve fibers. Neurofibromas can become quite large, causing a major disfigurement, eroding bone, and compressing various peripheral nerve structures. Type 1 neurofibromatosis has dominant inheritance, with a gene locus on the proximal long arm of chromosome 17.	ncit:C3273			
PD						NF2	An autosomal dominant disorder caused by mutations in the NF2 tumor suppressor gene. It is characterized by the development of peripheral and central nervous system tumors including acoustic schwannomas, neurofibromas, gliomas, and meningiomas.	ncit:C3274			
PD						Gardner Syndrome	A variant of familial adenomatous polyposis. It is an autosomal dominant syndrome characterized by multiple colonic polyps predisposing to carcinoma of the colon, osteomas of the skull, epidermoid cysts, and fibromas. It is associated with mutation of the APC gene.	ncit:C6728			
PD						Retinoblastoma Syndrome	A malignant tumor that originates in the nuclear layer of the retina. As the most common primary tumor of the eye in children, retinoblastoma is still relatively uncommon, accounting for only 1% of all malignant tumors in pediatric patients. Approximately 95% of cases are diagnosed before age 5. These tumors may be multifocal, bilateral, congenital, inherited, or acquired. Seventy-five percent of retinoblastomas are unilateral; 60% occur sporadically. A predisposition to retinoblastoma has been associated with 13q14 cytogenetic abnormalities. Patients with the inherited form also appear to be at increased risk for secondary nonocular malignancies such as osteosarcoma, malignant fibrous histiocytoma, and fibrosarcoma.	ncit:C7541			
PD						Ollier Disease	A rare benign disorder characterized by lack of normal endochondral ossification, and the growth of multiple enchondromas. It primarily affects the bones of the hand, in children and young adults. Extent of the disease varies; in some cases, neoplastic involvement may be widespread causing considerable deformity.	ncit:C3008			
PD						Maffucci Syndrome	A rare non-inherited disorder primarily affecting the skin and skeletal system. It is classified as a mesodermal dysplasia. Clinical signs appear within the first decade and are characterized by multiple soft tissue hemiangiomas and enchondromas leading to skeletal deformities. Clinical course is progressive with variable development of associated malignancies.	ncit:C3213			
PD						Paget Disease	A malignant neoplasm composed of large cells with large nuclei, prominent nucleoli, and abundant pale cytoplasm (Paget cells). Paget cell neoplasms include Paget disease of the nipple and extramammary Paget disease which may affect the vulva, penis, anus, skin and scrotum.	ncit:C7073			
PD						Multiple Osteochondromas	An autosomal dominant neoplastic chondrogenic process affecting multiple sites. It is caused by mutations in the EXT1 or EXT2 genes. Grossly and microscopically, the lesions resemble an osteochondroma.	ncit:C53457			
PD						McCune-Albright Syndrome	A syndrome characterized by the presence of polyostotic fibrous dysplasia, cafe-au-lait skin lesions, and sexual precocity. It is caused by mutations within the GNAS genetic locus.	ncit:C48627			
PD						Rothmund-Thomson Syndrome	An autosomal recessive inherited syndrome usually caused by mutations in the RECQL4 gene. It is characterized by poikilodermatous skin changes, sparse hair, cataracts, small stature, skeletal abnormalities, and an increased predisposition to cancer, particularly osteosarcoma.	ncit:C3335			
PD						Werner Syndrome	A rare, autosomal recessive syndrome caused by mutations in the WRN gene. It is characterized by the appearance of accelerated aging following puberty. It is associated with the development of diabetes mellitus, atherosclerosis, cataracts, and cancer.	ncit:C3447			
PD						Cherubism	A rare autosomal dominant inherited disorder usually caused by mutations in the SH3BP2 gene. It is characterized by a prominent lower part of the face due to bilateral replacement of the mandibular or maxillary bones by lesions. The lesions contain osteoclast-like cells admixed with spindle-shaped mononuclear stromal cells. With time, the lesions become more fibrotic and less osteoclast-rich.	ncit:C84630			
PD						Li-Fraumeni	An autosomal dominant cancer predisposition syndrome caused by germline mutations of the TP53 gene. It is characterized by the development of malignant neoplasms at various anatomic sites. The malignant neoplasms associated with Li-Fraumeni syndrome include breast carcinoma, choroid plexus carcinoma, adrenal cortex carcinoma, gastric carcinoma, colorectal carcinoma, thyroid gland carcinoma, kidney carcinoma, prostate carcinoma, astrocytic tumors, medulloblastoma, osteosarcoma, soft tissue sarcoma, leukemia, and non-Hodgkin lymphoma.	ncit:C3476			
PD						Lynch Syndrome	An autosomal dominant hereditary neoplastic syndrome characterized by the development of colorectal carcinoma and a high risk of developing endometrial carcinoma, gastric carcinoma, ovarian carcinoma, renal pelvis carcinoma, and small intestinal carcinoma. Patients often develop colorectal carcinomas at an early age (mean, 45 years). In the majority of the cases the lesions arise from the proximal colon. At the molecular level, high-frequency microsatellite instability is present.	ncit:C8494			
PD						Bloom Syndrome	An autosomal dominant inherited syndrome caused by mutations in the BRCA1 or BRCA2 genes. Patients are at high risk of developing breast cancer, particularly before the age of fifty, high risk of developing a second primary breast cancer, and high risk of developing both breast and ovarian cancer.	ncit:C8493			
PD						Other Cancer	A finding indicating the presence of a malignancy that is not further specified or defined.				
PD						Diamond-Blackfan Anemia	An inherited condition characterized by aplasia of the erythroid series only. The white cells and platelets are not affected. Patients develop anemia usually in infancy.	ncit:C61236			
											
											
DD	Demographics										
TD	Survival Characteristics										
TG	One row per subject per cause of death, per cause of death detail										
VD	HONEST_BROKER_SUBJECT_ID	String	Tier 1	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	AGE_AT_LKSS	Number	Tier 1	Age of subject (in days) at the last known survival status.	ncit:C168844	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String		This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_			
VD	LKSS	Enum	Tier 1	The individual's last known survival status.	ncit:C168931	_undefined_	_undefined_	_undefined_			
PD						Alive	Showing characteristics of life; displaying signs of life.	ncit:C37987			
PD						Dead	The cessation of life.	ncit:C28554			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	CAUSE_OF_DEATH	Enum	Tier 1	The circumstance or condition that results in the death of a living being.	ncit:C81239	_undefined_	_undefined_	_undefined_			
PD						Disease Progression	An indication that the subject has died due to the progression of their disease.	ncit:C168970	Note: If multiple causes of death, include one observation per cause of death. However, only one cause of death can have the varaiable CAUSE_OF_DEATH_RANKING=Primary. Note: Only fill in this variable if LKSS is "Dead".		
PD						Treatment-Related Mortality	A death that is considered to be causally linked to a treatment.	ncit:C166165			
PD						Secondary Malignancy	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968			
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649			
PD						Not Reported	Not provided or available.	ncit:C43234			
VD	CAUSE_OF_DEATH_RANKING	Enum	Tier 1	Assigning a weighted relevance to the cause of death.	ncit:C168932	_undefined_	_undefined_	_undefined_			
PD						Primary	The first significant event which ultimately led to death.	ncit:C99531	Note: There may be multiple contributory causes of death, but only one primary cause of death. Note: Only fill in this variable if LKSS is "Dead".		
PD						Contributory	Any factor contributing to the cause of death.	ncit:C168948			
PD						Not Reported	Not provided or available.	ncit:C43234			
											
											
DD	Disease Attributes										
TD	Disease Site Assessment										
TG	One row per subject per evaluation and per lesion (local, regional or metastatic)										
VD	HONEST_BROKER_SUBJECT_ID	String	1 - contributors must include, regardless of the resource cost	The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a "re-identification code"), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.	ncit:C168949	_undefined_	_undefined_	_undefined_			
VD	AGE_AT_DISEASE_SITE_ASSESSMENT	Integer	2 - contributors should prioritize inclusion if resources are available	The age (in days) of the subject at the time of this disease site assessment.	ncit:C174997	_undefined_	_undefined_	_undefined_			
VD	TIME_PERIOD_SUBMITTER_ID	String	2 - contributors should prioritize inclusion if resources are available	This is the SUBMITTER_ID of the time period (defined in the "Time Period" table) during which this observation takes place.		_undefined_	_undefined_	_undefined_			
VD	TUMOR_SUBMITTER_ID	String	2 - contributors should prioritize inclusion if resources are available	The anatomic site of the tumor.		_undefined_	_undefined_	_undefined_			
VD	PRIMARY_TUMOR_SUBMITTER_ID	String	2 - contributors should prioritize inclusion if resources are available	The reference ID of the primary tumor - this ties non-primary tumors back to their appropriate primary tumor.		_undefined_	_undefined_	_undefined_			
VD	DETECTION_METHOD	Enum	2 - contributors should prioritize inclusion if resources are available	The method used to detect the extent of the disease involvement.	ncit:C173262	_undefined_	_undefined_	_undefined_			
