PD						AHOD0431	The identifier AHOD0431, assigned to a study in a HL clinical trial.	ncit:C185310
PD						AHOD0031	The identifier AHOD0031, assigned to a study in a HL clinical trial.	ncit:C185311
PD						AHOD1331	The identifier AHOD1331, assigned to a study in a HL clinical trial.	ncit:C185312
PD						AHOD1221	The identifier AHOD1221, assigned to a study in a HL clinical trial.	ncit:C185313
PD						AHOD03P1	The identifier AHOD03P1, assigned to a study in a HL clinical trial.	ncit:C185314
PD						St. Jude's Trials - TBD			Add in APEC14B1?
VD	STUDY_PHASE	Code	Mandatory	Clinical trials are broken into three or four phases: Phase I tests a new drug or treatment for safety in a small group; Phase II expands the study to a larger group of people; Phase III expands the study to an even larger group of people to measure whether the treatment actually benefits patients, and whether its benefits exceed its risks; and Phase IV takes place after the drug or treatment has been licensed and marketed.	ncit:C48281	_undefined_	_undefined_	_undefined_
PD						Pilot	The initial study examining a new method or treatment.	ncit:C15303
PD						Phase 1	A clinical research protocol designed to test a new biomedical intervention in a small group of people for the first time. A Phase I trial can be to establish the toxicity of a new treatment with escalating intensity of the treatment administered and/or to determine the side effects of a new treatment for a particular indication in subjects.	ncit:C15600
PD						Phase 2	A clinical research protocol designed to study a biomedical or behavioral intervention in a larger group of people (several hundred), to evaluate the drug's effectiveness for a particular indication in patients with the disease or condition under study, and to determine the common short-term side effects and risks associated with the intervention.	ncit:C15601
PD						Phase 3	A clinical research protocol designed to investigate the efficacy of the biomedical or behavioral intervention in large groups of human subjects (from several hundred to several thousand), to confirm efficacy, to monitor adverse reactions to the new medication or treatment regimen with respect to long-term use and by comparing the intervention to other standard or experimental interventions as well as to a placebo.	ncit:C15602
VD	STUDY_TYPE	Code	Mandatory	The nature of the investigation or the investigational use for which clinical study is being done.	ncit:C142175	_undefined_	_undefined_	_undefined_
PD						Frontline Study	A clinical trial for previously untreated patients that studies the use of a first line of treatment.	ncit:C185306
PD						Retrieval	A trial to assess the efficacy of reinduction therapy.	ncit:C185307
VD	AGE_AT_ENROLLMENT	Number	Mandatory	Age of subject (in days) when the subject enrolled in the study.	ncit:C168843	_undefined_	_undefined_	_undefined_
VD	TREATMENT_ARM	Code	Mandatory	A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.	ncit:C15538	_undefined_	_undefined_	_undefined_
PD						TBD


DD	Protocol
TD	Off Protocol Therapy/Study
TG	One row per subject per off protocol therapy or off study per reason off
VD	AGE_OFF	Number	Mandatory		ncit:C172678	_undefined_	_undefined_	_undefined_
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	COURSE	Code	Mandatory	The label for the course of systemic chemotherapy.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632
PD						Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.	ncit:C15313
PD						Chemoimmunotherapy	Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.	ncit:C94251
PD						Immunotherapy	Therapy designed to induce changes in a patient's immune status in order to treat disease.	ncit:C15262
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	OFF_TYPE	Code	Mandatory	The code used to designate that the subject went off therapy or off the study	ncit:C173256	_undefined_	_undefined_	_undefined_
PD						Protocol Therapy	No longer receiving protocol therapy.	ncit:C173257
PD						Study	No longer participating in a study; not being followed and will not be retreated.	ncit:C29851
VD	REASON_OFF	Code	Mandatory	The reason a subject went off the therapy or study.	ncit:C169005	_undefined_	_undefined_	_undefined_
PD						Death	Specifies whether the life of an entity has ceased.	ncit:C93546
PD						Lost to Follow-Up	The subject was not available for follow-up procedures.	ncit:C70740
PD						Completion of Follow-Up	The follow-up protocols were completed.	ncit:C178071
PD						Completion of Planned Therapy	The end of the planned treatment.	ncit:C168935
PD						Physician Decision	A position, opinion or judgment reached after consideration by a physician with reference to subject.	ncit:C48250
PD						Ineligible	The state or quality of being disqualified by law, rule, or provision.	ncit:C40412
PD						Withdrawal of Consent	When the permission to do something is rescinded or withdrawn.	ncit:C48271
PD						Subject/Guardian Refused Further Treatment	The subject or their guardian has refused further treatment.	ncit:C168934
PD						Subject Non-Compliance	Failure of a patient to follow medical advice, take medication as directed, or adhere to a prescribed course of treatment.	ncit:C91752
PD						Disease Progression	A clinical, pathologic, and/or molecular finding indicating that the course of a disease is worsening in terms of extent or severity.	ncit:C35571
PD						Failure to Attain Remission	Remission status was not attained.	ncit:C178072
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Adverse Event	Any unfavorable or unintended disease, sign, or symptom (including an abnormal laboratory finding) that is temporally associated with the use of a medical treatment or procedure, and that may or may not be considered related to the medical treatment or procedure. Such events can be related to the intervention, dose, route of administration, patient, or caused by an interaction with another drug(s) or procedure(s).	ncit:C41331
PD						Development of SNM	A malignant neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment.	ncit:C4968
PD						Study Discontinuation	The act of concluding participation by an enrolled subject prior to completion of all protocol-required elements in a trial. NOTE: Four categories of discontinuation are distinguished: a) dropout: Active discontinuation by a subject (also a noun referring to such a discontinued subject); b) investigator initiated discontinuation (e.g., for cause); c) loss to follow-up: cessation of participation without notice or action by the subject; d) sponsor initiated discontinuation. Note that subject discontinuation does not necessarily imply exclusion of subject data from analysis. "Termination of subject" has a history of synonymous use, but is now considered nonstandard. [After ICH E3, section 10.1 and FDA Guidance for Industry: Submission of Abbreviated Reports & Synopses in Support of Marketing Applications, IV A]	ncit:C142444
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	ANOTHER_STUDY	Code	Mandatory	The subject was enrolled in another therapeutic study after the off protocol study.	ncit:C178073	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488


DD	Protocol
TD	Disease Phase Timing
TG	One row per subject per disease phase
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	AGE_AT_DISEASE_PHASE	Number	Mandatory	Age in days when the diagnosis was made for the Disease Phase.	ncit:C168972	_undefined_	_undefined_	_undefined_
VD	YEAR_AT_DISEASE_PHASE	Number	Mandatory	Year when the diagnosis was made for the Disease Phase.	ncit:C168823	_undefined_	_undefined_	_undefined_


DD	Protocol
TD	Course Timing
TG	One row per subject per course per cycle
VD	COURSE	Code	Mandatory	The label for the course of systemic chemotherapy.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632
PD						Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.	ncit:C15313
PD						Chemoimmunotherapy	Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.	ncit:C94251
PD						Immunotherapy	Therapy designed to induce changes in a patient's immune status in order to treat disease.	ncit:C15262
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	AGE_AT_COURSE_START	Number	Mandatory	Age of subject (in days) at the start of the course.	ncit:C168850	_undefined_	_undefined_	_undefined_
VD	AGE_AT_COURSE_END	Number	Mandatory	Age of subject (in days) at the end of the course.	ncit:C168851	_undefined_	_undefined_	_undefined_
VD	CYCLE_NUMBER	Number	Mandatory	The number of the individual chemotherapeutic cycle.	ncit:C166208	_undefined_	_undefined_	_undefined_
VD	AGE_AT_CYCLE_START	Number	Mandatory	Age of subject (in days) at the beginning of the treatment cycle.	ncit:C185317	_undefined_	_undefined_	_undefined_
VD	AGE_AT_CYCLE_END	Number	Mandatory	Age of subject (in days) at the end of the treatment cycle.	ncit:C185316	_undefined_	_undefined_	_undefined_


DD	Demographics
TD	Demographics
TG	One row per subject
VD	SEX	Code	Mandatory	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.	ncit:C28421	_undefined_	_undefined_	_undefined_
PD						Male	A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.	ncit:C20197
PD						Female	A person who belongs to the sex that normally produces ova. The term is used to indicate biological sex distinctions, or cultural gender role distinctions, or both.	ncit:C16576
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	RACE	Code	Mandatory	An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.	ncit:C17049	_undefined_	_undefined_	_undefined_
PD						American Indian or Alaska Native	A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment. (OMB)	ncit:C41259
PD						Asian	A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (OMB)	ncit:C41260
PD						Black or African American	A person having origins in any of the Black racial groups of Africa. Terms such as "Haitian" or "Negro" can be used in addition to "Black or African American". (OMB)	ncit:C16352
PD						Multiracial	Having ancestors of several or various races.	ncit:C67109
PD						Native Hawaiian or Other Pacific Islander	A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. (OMB)	ncit:C41219
PD						White	A person having origins in any of the original peoples of Europe, the Middle East, or North Africa. (OMB)	ncit:C41261
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	ETHNICITY	Code	Mandatory	A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.c	ncit:C16564	_undefined_	_undefined_	_undefined_
PD						Hispanic or Latino	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, "Spanish origin," can be used in addition to "Hispanic or Latino." (OMB)	ncit:C17459
PD						Not Hispanic or Latino	A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.	ncit:C41222
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998


DD	Demographics
TD	Family Medical History
TG	One row per subject
VD	FAMILY_HISTORY	Code	Optional	A record of a patient's background regarding health and disease events of blood relatives. A patient's family medical history may be important in diagnosing existing conditions.	ncit:C17726	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	RELATIVE	Code	Optional	A person related by blood or marriage.	ncit:C21480	_undefined_	_undefined_	_undefined_
PD						Father	A male who contributes to the genetic makeup of his offspring through the fertilization of an ovum by his sperm.	ncit:C96572
PD						Mother	A female who contributes to the genetic makeup of her offspring from the fertilization of her ovum.	ncit:C96580
PD						Brother	A male who shares with his sibling the genetic makeup inherited from one or both of their shared biological parents.	ncit:C96570
PD						Sister	A female who shares with her sibling the genetic makeup inherited from one or both of their shared biological parents.	ncit:C96586
PD						Son	A male progeny with genetic makeup inherited from the parent.	ncit:C150888
PD						Daughter	A female progeny with genetic makeup inherited from the parent.	ncit:C150887
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	PRIOR_CANCER	String	Optional	The type of cancer that an individual had previously.	ncit:C185318	_undefined_	_undefined_	_undefined_


DD	Demographics
TD	Medical History
TG	One row per subject per prior medical history
VD	MEDICAL_HISTORY_CATEGORY	Code	Optional	A classification of the medical history.	ncit:C83018	_undefined_	_undefined_	_undefined_
PD						Genetic Syndrome	Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.	ncit:C3101
PD						Autoimmune Disease	A disorder resulting from loss of function or tissue destruction of an organ or multiple organs, arising from humoral or cellular immune responses of the individual to his own tissue constituents. It may be systemic (e.g., systemic lupus erythematosus), or organ specific, (e.g., thyroiditis).	ncit:C2889
PD						Congenital Anomaly	Any abnormality, anatomical or biochemical, evident at birth or during the neonatal period.	ncit:C2849
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	MEDICAL_HISTORY	Code	Optional	A record of a patient's background regarding health and the occurrence of disease events of the individual. In addition, personal medical history may be a variable in epidemiologic studies.	ncit:C18772	_undefined_	_undefined_	_undefined_
PD						Beckwith-Wiedemann Syndrome	A genetic syndrome caused by abnormalities in chromosome 11. It is characterized by large birth weight, macroglossia, umbilical hernia, ear abnormalities, and hypoglycemia. Patients with this syndrome have an increased risk of developing embryonal tumors (gonadoblastoma, hepatoblastoma, Wilms tumor, Rhabdomyosarcoma) and adrenal cortex carcinomas.	ncit:C34415
PD						Central Hypoventilation Syndrome	A disorder characterized by hypoventilation and hypoxemia. It appears early in life and is not associated with cardiopulmonary or neuromuscular abnormalities.	ncit:C98889
PD						Costello Syndrome	A genetic syndrome caused by mutations in the HRAS gene. It is characterized by developmental delay, mental retardation, loose skin folds, cardiomyopathy, tachycardia, and structural heart defects. Patients are at an increased risk of developing benign or malignant neoplasms.	ncit:C84652
PD						Cushing Syndrome	A syndrome caused by high levels of cortisol in the blood either due to excessive production and secretion of corticosteroids secondary to pituitary or adrenocortical neoplasms, or intake of glucocorticoid drugs. Signs and symptoms include a round face, upper body obesity, fragile and thin skin, purple stretch marks in the skin, fatigue, muscle weakness, hypertension, diabetes mellitus, hypertrichosis and amenorrhea in women, impotence in men, and osteoporosis.	ncit:C2969
PD						Denys-Drash Syndrome	A rare congenital syndrome caused by mutations in the WT1 gene. It is characterized by the presence of congenital nephropathy (diffuse mesangial sclerosis), Wilms tumor, and intersex disorders.	ncit:C84668
PD						Down Syndrome	A chromosomal dysgenesis syndrome resulting from a triplication or translocation of chromosome 21. Down syndrome occurs in approximately 1:700 live births. Abnormalities are variable from individual to individual and may include mental retardation, retarded growth, flat hypoplastic face with short nose, prominent epicanthic skin folds, small low-set ears with prominent antihelix, fissured and thickened tongue, laxness of joint ligaments, pelvic dysplasia, broad hands and feet, stubby fingers, transverse palmar crease, lenticular opacities and heart disease. Patients with Down syndrome have an estimated 10 to 30-fold increased risk for leukemia; most have symptoms of Alzheimer's disease by age 40. Also known as trisomy 21 syndrome.	ncit:C2993
PD						Gorlin Syndrome	An autosomal dominant genetic syndrome caused by abnormalities in the PTCH gene. It is characterized by multiple basal cell carcinomas at a young age, odontogenic keratocysts, and skeletal defects (bifurcated and splayed ribs, fusion of vertebrae, spinal bifida). Patients with this syndrome may also develop medulloblastomas and ovarian fibromas.	ncit:C2892
PD						Hemihypertrophy	A finding indicating the presence of greater than normal asymmetry between the right and left sides of the body. The asymmetry may be manifested in the entire side or part of it.	ncit:C88541
PD						Hereditary Retinoblastoma	An inherited malignant tumor that originates in the nuclear layer of the retina. A predisposition to retinoblastoma has been associated with 13q14 cytogenetic abnormalities. Patients with the inherited form appear to be at increased risk for secondary nonocular malignancies such as osteosarcoma, malignant fibrous histiocytoma, and fibrosarcoma.	ncit:C8495
PD						Hirschsprung Disease	A congenital disorder characterized by the absence of myenteric ganglion cells in the distal colon. It results in a functional stenosis of the distal colon and a massive distention of the proximal colon.	ncit:C34700
PD						Li-Fraumeni Syndrome	An autosomal dominant cancer predisposition syndrome caused by germline mutations of the TP53 gene. It is characterized by the development of malignant neoplasms at various anatomic sites. The malignant neoplasms associated with Li-Fraumeni syndrome include breast carcinoma, choroid plexus carcinoma, adrenal cortex carcinoma, gastric carcinoma, colorectal carcinoma, thyroid gland carcinoma, kidney carcinoma, prostate carcinoma, astrocytic tumors, medulloblastoma, osteosarcoma, soft tissue sarcoma, leukemia, and non-Hodgkin lymphoma.	ncit:C3476
PD						Neurofibromatosis Type I	Progressive, symptomatic neurofibromatosis type 1 associated with plexiform neurofibromas that cannot be removed surgically without risk of substantial morbidity.	ncit:C143014
PD						Noonan Syndrome	A genetic syndrome caused by mutations in the PTPN11 gene (over 50% of the cases) or less frequently mutations in the SOS1, RAF1, or KRAS genes. It is characterized by short stature, webbed neck, hypertelorism, low-set ears, deafness, and thrombocytopenia or abnormal platelet function.	ncit:C34854
PD						WAGR Syndrome	A very rare congenital condition involving the complex of Wilms tumor, aniridia, genitourinary abnormalities, and mental retardation. Wilms Tumor-Aniridia-Genitourinary Anomalies-Mental Retardation (WAGR) syndrome involves deletions of several adjacent genes in chromosome region 11p13. Two or more of the four conditions must be present for an individual to be diagnosed with WAGR Syndrome. The clinical picture varies, depending upon the combination of abnormalities.	ncit:C3718
PD						Werner Syndrome	A rare, autosomal recessive syndrome caused by mutations in the WRN gene. It is characterized by the appearance of accelerated aging following puberty. It is associated with the development of diabetes mellitus, atherosclerosis, cataracts, and cancer.	ncit:C3447
PD						Celiac Disease	An autoimmune genetic disorder with an unknown pattern of inheritance that primarily affects the digestive tract. It is caused by intolerance to dietary gluten. Consumption of gluten protein triggers an immune response which damages small intestinal villi and prevents adequate absorption of nutrients. Clinical signs include abdominal cramping, diarrhea or constipation and weight loss. If untreated, the clinical course may progress to malnutrition, anemia, osteoporosis and an increased risk of intestinal malignancies. However, the prognosis is favorable with successful avoidance of gluten in the diet.	ncit:C26714
PD						Diabetes Mellitus (Type I)	A chronic condition characterized by minimal or absent production of insulin by the pancreas.	ncit:C2986
PD						Goodpasture's Syndrome	An autoimmune disorder characterized by pulmonary hemorrhage and glomerulonephritis. It is a hypersensitivity reaction resulting in the formation of antibodies against the pulmonary alveoli and the basement membrane of the glomeruli.	ncit:C34649
PD						Graves' Disease	Hyperthyroidism associated with diffuse hyperplasia of the thyroid gland (goiter), resulting from production of antibodies that are directed against the thyrotropin receptor complex of the follicular epithelial cells. As a result, the thyroid gland enlarges and secrets increased amounts of thyroid hormones.	ncit:C3071
PD						Hashimoto's Thyroiditis	An autoimmune disorder caused by the production of autoantibodies against thyroid tissue. There is progressive destruction of the thyroid follicles leading to hypothyroidism.	ncit:C27191
PD						Inflammatory Bowel Disease	A spectrum of small and large bowel inflammatory diseases of unknown etiology. It includes Crohn's disease, ulcerative colitis, and colitis of indeterminate type.	ncit:C3138
PD						Juvenile Idiopathic Arthritis	A group of chronic, inflammatory childhood disorders of unknown etiology that primarily involve joints.	ncit:C114357
PD						Multiple Sclerosis	A progressive autoimmune disorder affecting the central nervous system resulting in demyelination. Patients develop physical and cognitive impairments that correspond with the affected nerve fibers.	ncit:C3243
PD						Psoriasis	An autoimmune condition characterized by red, well-delineated plaques with silvery scales that are usually on the extensor surfaces and scalp. They can occasionally present with these manifestations: pustules; erythema and scaling in intertriginous areas, and erythroderma, that are often distributed on extensor surfaces and scalp.	ncit:C3346
PD						Scleroderma	A localized or systemic chronic and progressive autoimmune disorder characterized by thickening of the skin and the connective tissues. Localized scleroderma affects only the skin. Systemic scleroderma affects internal organs, including the heart, lungs, gastrointestinal tract, and kidneys.	ncit:C26746
PD						Systemic Lupus Erythematosus	An autoimmune multi-organ disease typically associated with vasculopathy and autoantibody production. Most patients have antinuclear antibodies (ANA). The presence of anti-dsDNA or anti-Smith antibodies are highly-specific.	ncit:C3201
PD						Vitiligo	Generalized well circumscribed patches of leukoderma that are generally distributed over symmetric body locations and is due to autoimmune destruction of melanocytes.	ncit:C26915
PD						Cleft Lip	A congenital abnormality consisting of one or more clefts (splits) in the upper lip, which may be accompanied by a cleft palate; it is the result of the failure of the embryonic parts of the lip to fuse.	ncit:C87175
PD						Cleft Palate	A congenital abnormality consisting of a fissure in the midline of the hard and/or soft palate; it is the result of the failure of the two sides of the palate to fuse during embryonic development.	ncit:C87069
PD						Clubfoot	The most common congenital deformation of the foot, occurring in 1 of 1,000 live births. The most common form is talipes equinovarus, where the deformed foot is turned downward and inward sharply.	ncit:C84641
PD						Gastroschisis	A congenital birth defect characterized by the exposure of the fetal intestines outside the abdominal wall through an abdominal wall opening.	ncit:C84725
PD						Heart Defect	Genetic anomalies and collections of malformations that are known to cluster together that can be associated with congenital heart defects.	ncit:C168217
PD						Lynch Syndrome	An autosomal dominant hereditary neoplastic syndrome characterized by the development of colorectal carcinoma and a high risk of developing endometrial carcinoma, gastric carcinoma, ovarian carcinoma, renal pelvis carcinoma, and small intestinal carcinoma. Patients often develop colorectal carcinomas at an early age (mean, 45 years). In the majority of the cases the lesions arise from the proximal colon. At the molecular level, high-frequency microsatellite instability is present.	ncit:C8494
PD						Mixed Connective Tissue Disease	An autoimmune overlap syndrome characterized by the presence of symptoms of systemic lupus erythematosus, systemic scleroderma, and polymyositis.	ncit:C84892
PD						Graves' Disease	Hyperthyroidism associated with diffuse hyperplasia of the thyroid gland (goiter), resulting from production of antibodies that are directed against the thyrotropin receptor complex of the follicular epithelial cells. As a result, the thyroid gland enlarges and secrets increased amounts of thyroid hormones.	ncit:C3071
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Not known, observed, recorded; or reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	ASSISTED_CONCEPTION	Code	Optional			_undefined_	_undefined_	_undefined_
PD						In Vitro Fertilization	Fertilization of an ovum outside of the body.	ncit:C16580
PD						Intracytoplasmic Sperm Injection	Injecting a single sperm into the center of an egg.	ncit:C185482
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
PD						Unknown	Not known, observed, recorded; or reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234


DD	Demographics
TD	Survival Characteristics
TG	One row per subject per cause of death, per treatment type, per cause of death detail
VD	AGE_AT_LKSS	Number	Mandatory	Age of subject (in days) at the last known survival status.	ncit:C168844	_undefined_	_undefined_	_undefined_
VD	DISEASE_PHASE	Code	Mandatory	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Mandatory	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	COURSE	Code	Mandatory	The label for the course of systemic chemotherapy.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632
PD						Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.	ncit:C15313
PD						Chemoimmunotherapy	Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.	ncit:C94251
PD						Immunotherapy	Therapy designed to induce changes in a patient's immune status in order to treat disease.	ncit:C15262
VD	COURSE_NUMBER	Number	Mandatory	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	LKSS	Code	Mandatory	The individual's last known survival status.	ncit:C168931	_undefined_	_undefined_	_undefined_
PD						Alive	Showing characteristics of life; displaying signs of life.	ncit:C37987
PD						Dead	The cessation of life.	ncit:C28554
PD						Unknown	Reported as unknown by the data contributor.	ncit:C17998
VD	LKSS_WITH_DISEASE	Code	Mandatory	The last know survival status of the individual with the disease	ncit:C178074	_undefined_	_undefined_	_undefined_
PD						No	The non-affirmative response to a question.	ncit:C49487
PD						Yes	The affirmative response to a question.	ncit:C49488
