INFO	Title	PCDC Data Model										
INFO	Name	pcdc_v1.8										
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/pcdc-model/pcdc_v1.8										
INFO	Used By	all_v1.1, all_v1.0, aml_v1.7, aml_v1.6, aml_v1.5, aml_v1.4, aml_v1.3, aml_v1.2, aml_v1.1, aml_v1.0, ews_v1.2, ews_v1.1, ews_v1.0, gct_v1.2, gct_v1.1, gct_v1.0, hl_v1.0, nbl_v1.1, nbl_v1.0, nrsts_v1.0, os_v1.2, os_v1.1, os_v1.0, rms_v1.0										
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)										
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/										
INFO	Description	Each disease group in the PCDC network uses a disease-specific data dictionary as the target schema for their data harmonization efforts. The PCDC data model is the full collection these consensus data elements.										
INFO	Total Variables	521										
												
RowType	VariableName	DataType	Tier	VariableSource	VariableDescription	VariableCode	PermissibleValue	ValueSource	ValueDescription	ValueCode	ImplementationNotes	Mappings
PD							COG	all_v1.1|all_v1.0|aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|ews_v1.2|ews_v1.1|ews_v1.0|gct_v1.2|gct_v1.1|gct_v1.0|hl_v1.0|nbl_v1.1|nbl_v1.0|os_v1.2|os_v1.1|os_v1.0	An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353		
PD							AIEOP	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|gct_v1.2|gct_v1.1|gct_v1.0	A group from Bologna, Italy, comprised mainly of pediatricians, hematologists, oncologists, surgeons, biologists, nurses and psychologists who are devoted to addressing the problems of hematology, oncology and immunology in the child and adolescent.	ncit:C168887		
PD							BFM-SG	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	A study group formed in 1975 by three individuals, Hansjorg Riehm in Berlin (B), Bernhard Kornhuber in Frankfurt (F) and Gunther Schellong in Munster (M), who initiated the first multicenter BFM trial. The BFM treatment concept was based on an intensive chemotherapeutic approach employing eight different drugs which led to a revolutionary increase in the survival of children and adolescents with acute lymphoblastic leukemia.	ncit:C168888		
PD							DCOG	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	A collaborating partner in Innovative Therapies for Children with Cancer Consortium (ITCC), a European based consortium to promote the clinical evaluation of new anti-cancer compounds in children with cancer.	ncit:C168889		
PD							MRC	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|gct_v1.2|gct_v1.1|gct_v1.0|os_v1.2|os_v1.1|os_v1.0	A publicly funded organization that is part of United Kingdom Research and Innovation, and is dedicated to improving human health through world-class medical research.	ncit:C168892		
PD							NOPHO	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	A collaborative group formed in 1984 with members from Denmark, Finland, Iceland, Lithuania, Norway and Sweden and whose goal was to secure that all Nordic children suffering from leukemia would receive optimal therapy wherever they lived.	ncit:C168893		
PD							PPLLSG	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	A collaborative group established in 1974 that had the original goal of implementing unified protocols with standardized diagnostic criteria and therapy regimens for Hodgkin's disease and acute lymphoblastic leukemia. The prospects were widened to include non-Hodgkin's lymphomas and acute myelogenous leukemia in 1983.	ncit:C168894		
PD							JACLS	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	A study group in Japan investigating childhood leukemia.	ncit:C168890		
PD							JPLSG	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	A study group in Japan investigating pediatric leukemia and lymphoma.	ncit:C168891		
PD							SJCRH	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|hl_v1.0|nbl_v1.1|nbl_v1.0	The Saint Jude Children's Research Hospital received its NCI designation in 1977 and was awarded status as a comprehensive cancer center by NCI in 2008. Research is focused specifically on childhood cancers, acquired and inherited immunodeficiencies and genetic disorders.	ncit:C39510		
PD							GPLP	aml_v1.7	Grupo Português de Leucémias Pediátricas			
PD							UK	ews_v1.2|ews_v1.1|ews_v1.0|os_v1.2|os_v1.1|os_v1.0	An information system in the United Kingdom designed for the collection, storage, and management of data on persons with sarcoma.	ncit:C174963		
PD							GPOH	ews_v1.2|ews_v1.1|ews_v1.0|nbl_v1.1|nbl_v1.0|os_v1.2|os_v1.1|os_v1.0	A research organization in Germany involved in the understanding, diagnosis, treatment and prognosis of pediatric cancers.	ncit:C174960		
PD							SSG	ews_v1.2|ews_v1.1|ews_v1.0|os_v1.2|os_v1.1|os_v1.0	A research organization in Scandinavia involved in the understanding, diagnosis, treatment and prognosis of sarcoma in children and adolescents.	ncit:C174961		
PD							FSG	ews_v1.2|ews_v1.1|ews_v1.0|os_v1.2|os_v1.1|os_v1.0	A research organization in France involved in the understanding, diagnosis, treatment and prognosis of sarcoma in children and adolescents.	ncit:C174962		
PD							EURO-EWING	ews_v1.2|ews_v1.1|ews_v1.0	A coalition of clinical study groups bringing together active clinicians and scientists in Europe dedicated to improving survival from Ewing sarcoma.	ncit:C174964		
PD							ISG	ews_v1.2|ews_v1.1|ews_v1.0|os_v1.2|os_v1.1|os_v1.0	A independent, scientific non-profit association formed in 2002 with the purpose of improving the quality of treatment for sarcoma.	ncit:C174965		
PD							CRCTU	ews_v1.2|ews_v1.1|ews_v1.0|os_v1.2|os_v1.1|os_v1.0	A research organization in the United Kingdom specializing in the design and delivery of every aspect of clinical trials of all phases in adults and children, from concept to publication.	ncit:C174966		
PD							UCL	ews_v1.2|ews_v1.1|ews_v1.0|os_v1.2|os_v1.1|os_v1.0	A public research university located in London, England.	ncit:C174967		
PD							CCLG	gct_v1.2|gct_v1.1|gct_v1.0	A children's cancer charity and United Kingdom and Ireland's professional association for those involved in the treatment and care of children with cancer.	ncit:C177327		
PD							SFCE	gct_v1.2|gct_v1.1|gct_v1.0	An association founded in France in 2003 which promotes the organization of care and scientific research in the field of childhood and adolescent cancer.	ncit:C177328		
PD							SOPOBE	gct_v1.2|gct_v1.1|gct_v1.0	A society founded in 1981 committed to improve the prognosis of children and adolescents with cancer.	ncit:C177329		
PD							DFCI	gct_v1.2|gct_v1.1|gct_v1.0	An institute founded in 1947 in Boston, Massachusetts, committed to providing treatment for adults and children with cancer, and developing cures with cutting-edge research.	ncit:C177330		
PD							NRG-Oncology	gct_v1.2|gct_v1.1|gct_v1.0	A leading protocol organization within the National Clinical Trials Network that seeks to improve the lives of cancer patients by conducting practice-changing, multi-institutional clinical and translational research.	ncit:C177331		
PD							JCCG	nbl_v1.1|nbl_v1.0				
PD							SIOPEN	nbl_v1.1|nbl_v1.0				
PD							COSS-GPOH	os_v1.2|os_v1.1|os_v1.0	The section of the German Society of Pediatric Oncology and Hematology dedicated to the study of osteosarcoma.	ncit:C186743		
PD							BOCG	os_v1.2|os_v1.1|os_v1.0	A cooperative group of individuals working with pediatric osteosarcoma.	ncit:C180373		
PD							GEIS	os_v1.2|os_v1.1|os_v1.0	A scientific society formed by professionals from more than sixty medical centers across Spain. This group includes surgeons, pediatricians, oncologic radiation therapy specialists, pathologists and molecular researchers.	ncit:C180341		
VD	STUDY_ID	Code	n/a	all_v1.1|all_v1.0|aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|ews_v1.2|ews_v1.1|ews_v1.0|gct_v1.2|gct_v1.1|gct_v1.0|hl_v1.0|nbl_v1.1|nbl_v1.0|nrsts_v1.0|os_v1.2|os_v1.1|os_v1.0|rms_v1.0	A sequence of characters used to identify, name, or characterize the study.	ncit:C83082	_undefined_	_undefined_	_undefined_	_undefined_		
PD							AALL0331	all_v1.1|all_v1.0|nbl_v1.1|nbl_v1.0	Outcome in Children With Standard-Risk B-Cell Acute Lymphoblastic Leukemia: Results of Children's Oncology Group Trial AALL0331. Children’s Oncology Group (COG) AALL0331 tested whether intensified postinduction therapy that improves survival in children with high-risk B-cell acute lymphoblastic leukemia (ALL) would also improve outcomes for those with standard-risk (SR) ALL. (Maloney KW, Devidas M, Wang C, et al. Outcome in Children With Standard-Risk B-Cell Acute Lymphoblastic Leukemia: Results of Children's Oncology Group Trial AALL0331. J Clin Oncol. 2020;38(6):602-612. doi:10.1200/JCO.19.01086.)	ncit:C178095		
PD							AALL0232	all_v1.1|all_v1.0|nbl_v1.1|nbl_v1.0	Dexamethasone and High-Dose Methotrexate Improve Outcome for Children and Young Adults With High-Risk B-Acute Lymphoblastic Leukemia: A Report From Children's Oncology Group Study AALL0232. Children’s Oncology Group study AALL0232 tested two interventions to improve survival. Between January 2004 and January 2011, AALL0232 enrolled 3,154 participants 1 to 30 years old with newly diagnosed high-risk B-acute lymphoblastic leukemia. By using a 2 × 2 factorial design, 2,914 participants were randomly assigned to receive dexamethasone (14 days) versus prednisone (28 days) during induction and high-dose methotrexate versus Capizzi escalating-dose methotrexate plus pegaspargase during interim maintenance 1. (Larsen EC, Devidas M, Chen S, et al. Dexamethasone and High-Dose Methotrexate Improve Outcome for Children and Young Adults With High-Risk B-Acute Lymphoblastic Leukemia: A Report From Children's Oncology Group Study AALL0232. J Clin Oncol. 2016;34(20):2380-2388. doi:10.1200/JCO.2015.62.4544)	ncit:C178065		
PD							AALL0434	all_v1.1|all_v1.0|nbl_v1.1|nbl_v1.0	Children's Oncology Group AALL0434: A Phase III Randomized Clinical Trial Testing Nelarabine in Newly Diagnosed T-Cell Acute Lymphoblastic Leukemia. Nelarabine is effective in inducing remission in patients with relapsed and refractory T-cell acute lymphoblastic leukemia (T-ALL) but has not been fully evaluated in those with newly diagnosed disease. From 2007 to 2014, Children’s Oncology Group trial AALL0434 enrolled 1,562 evaluable patients with T-ALL age 1-31 years who received the augmented Berlin-Frankfurt-Muenster (ABFM) regimen with a 2 × 2 pseudo-factorial randomization to receive escalating-dose methotrexate (MTX) without leucovorin rescue plus pegaspargase (C-MTX) or high-dose MTX (HDMTX) with leucovorin rescue. (Dunsmore KP, Winter SS, Devidas M, et al. Children's Oncology Group AALL0434: A Phase III Randomized Clinical Trial Testing Nelarabine in Newly Diagnosed T-Cell Acute Lymphoblastic Leukemia. J Clin Oncol. 2020;38(28):3282-3293. doi:10.1200/JCO.20.00256)	ncit:C178066		
PD							AALL08B1	all_v1.1|all_v1.0|nbl_v1.1|nbl_v1.0	Integration of cytogenomic data for furthering the characterization of pediatric B-cell acute lymphoblastic leukemia: a multi-institution, multi-platform microarray study. A total of 65 patients enrolled on the Children's Oncology Group (COG) study AALL08B1 were identified for study, as cytogenetic and FISH studies had also been performed on these patients, with a central review of those results available for comparison. (Baughn LB, Biegel JA, South ST, et al. Integration of cytogenomic data for furthering the characterization of pediatric B-cell acute lymphoblastic leukemia: a multi-institution, multi-platform microarray study. Cancer Genet. 2015;208(1-2):1-18. doi:10.1016/j.cancergen.2014.11.003)	ncit:C178067		
PD							AALL03B1	all_v1.1|all_v1.0|nbl_v1.1|nbl_v1.0	Classification of Acute Lymphoblastic Leukemia is a COG study from 2003-2011. This clinical trial is studying risk-group classification of patients with newly diagnosed acute lymphoblastic leukemia. Developing a risk-group classification guide may help doctors assign patients with newly diagnosed acute lymphoblastic leukemia to treatment clinical trials. (ClinicalTrials.gov Identifier: NCT00482352)	ncit:C178068		
PD							AML-BFM83/87	aml_v1.7|aml_v1.6|aml_v1.5				
PD							AML-BFM87/93	aml_v1.7|aml_v1.6|aml_v1.5				
PD							AML-BFM93	aml_v1.7|aml_v1.6|aml_v1.5				
PD							AML-BFM98	aml_v1.7|aml_v1.6|aml_v1.5				
PD							ML-DS-2006	aml_v1.7|aml_v1.6|aml_v1.5				
PD							AML-BFM2004 Interim	aml_v1.7|aml_v1.6|aml_v1.5				
PD							AML-BFM2019	aml_v1.7|aml_v1.6|aml_v1.5				
PD							AML-BFM2020	aml_v1.7|aml_v1.6|aml_v1.5				
PD							AML-BFM98 Interim 2003	aml_v1.7|aml_v1.6|aml_v1.5				
PD							APL	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3				
PD							NOPHOAML1993	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3				
PD							AAML03P1	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|nbl_v1.1|nbl_v1.0	The identifier AAML03P1, assigned to a study in a clinical trial.	ncit:C168936		
PD							AAML0531	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|nbl_v1.1|nbl_v1.0	The identifier AAML0531, assigned to a study in a clinical trial.	ncit:C168937		
PD							AAML1031	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0|nbl_v1.1|nbl_v1.0	The identifier AAML1031, assigned to a study in a clinical trial.	ncit:C168938		
PD							AML-BFM2004	aml_v1.7|aml_v1.6|aml_v1.5	The identifier AML-BFM 2004, assigned to a study in a clinical trial.	ncit:C168939		
PD							AML-BFM2012	aml_v1.7|aml_v1.6|aml_v1.5	The identifier AMLBFM2012, assigned to a study in an AML clinical trial.	ncit:C173250		
PD							AML-BFM Registry2012	aml_v1.7|aml_v1.6|aml_v1.5	The identifier AMLBFMRegistry2012, assigned to a study in an AML clinical trial.	ncit:C173251		
PD							AML-BFM1998	aml_v1.7|aml_v1.6|aml_v1.5	The identifier AMLBFM1998, assigned to a study in an AML clinical trial.	ncit:C182032		
PD							AML-BFM Registry2017	aml_v1.7|aml_v1.6|aml_v1.5	The identifier AMLBFMRegistry2017, assigned to a study in an AML clinical trial.	ncit:C182031		
PD							SJCRHAML02	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier SJCRHAML02, assigned to a study in a clinical trial.	ncit:C168940		
PD							JPLSGAML05	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier JPLSGAML05, assigned to a study in a clinical trial.	ncit:C168941		
PD							AEIOPAML2002	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier AEIOPAML2002, assigned to a study in a clinical trial.	ncit:C168942		
PD							JACLSAML99	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier JACLSAML99, assigned to a study in a clinical trial.	ncit:C168943		
PD							DBAML01	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier DBAML01, assigned to a study in a clinical trial.	ncit:C168944		
PD							MRCAML12	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier MRCAML12, assigned to a study in a clinical trial.	ncit:C168945		
PD							MRCAML15	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier MRCAML15, assigned to a study in an AML clinical trial.	ncit:C173252		
PD							NOPHOAML2004	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier NOPHOAML2004, assigned to a study in a clinical trial.	ncit:C168946		
PD							NOPHOAML2012	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier NOPHOAML2012, assigned to a study in an AML clinical trial.	ncit:C173253		
PD							AIEOPLAM92	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier AIEOPLAM92, assigned to a study in an AML clinical trial.	ncit:C173254		
PD							SCFEELAM02	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier SCFEELAM02, assigned to a study in an AML clinical trial.	ncit:C173255		
PD							PPLLSGAML98	aml_v1.7|aml_v1.6|aml_v1.5|aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier PPLLSGAML98, assigned to a study in a clinical trial.	ncit:C168947		
PD							AMLBFM2004 Interim	aml_v1.4|aml_v1.3				
PD							AMLBFM2019	aml_v1.4|aml_v1.3				
PD							AMLBFM2020	aml_v1.4|aml_v1.3				
PD							AMLBFM98 Interim 2003	aml_v1.4|aml_v1.3				
PD							AMLBFM2004	aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier AML-BFM 2004, assigned to a study in a clinical trial.	ncit:C168939		
PD							AMLBFM2012	aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier AMLBFM2012, assigned to a study in an AML clinical trial.	ncit:C173250		
PD							AMLBFMRegistry2012	aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier AMLBFMRegistry2012, assigned to a study in an AML clinical trial.	ncit:C173251		
PD							AMLBFM1998	aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier AMLBFM1998, assigned to a study in an AML clinical trial.	ncit:C182032		
PD							AMLBFMRegistry2017	aml_v1.4|aml_v1.3|aml_v1.2|aml_v1.1|aml_v1.0	The identifier AMLBFMRegistry2017, assigned to a study in an AML clinical trial.	ncit:C182031		
PD							AEWS1221	ews_v1.2|ews_v1.1|ews_v1.0	The identifier AEWS1221, assigned to a study in an EWS clinical trial.	ncit:C174968		
PD							AEWS0331	ews_v1.2|ews_v1.1|ews_v1.0	The identifier AEWS0331, assigned to a study in an EWS clinical trial.	ncit:C174969		
PD							AEWS0031	ews_v1.2|ews_v1.1|ews_v1.0	The identifier AEWS0031, assigned to a study in an EWS clinical trial.	ncit:C174970		
PD							AEWS1031	ews_v1.2|ews_v1.1|ews_v1.0	The identifier AEWS1031, assigned to a study in an EWS clinical trial.	ncit:C174971		
PD							EE99	ews_v1.2|ews_v1.1|ews_v1.0	The identifier EE99, assigned to a study in an EWS clinical trial.	ncit:C174972		
PD							EICESS92	ews_v1.2|ews_v1.1|ews_v1.0	The identifier EICESS92, assigned to a study in an EWS clinical trial.	ncit:C174973		
PD							AEWS07P1	ews_v1.2|ews_v1.1|ews_v1.0	The identifier AEWS07P1, assigned to a study in an EWS clinical trial.	ncit:C174974		
PD							ISG/AIEOP Ew1	ews_v1.2				
PD							ISG/AIEOP Ew2	ews_v1.2				
PD							TCGM2004	gct_v1.2|gct_v1.1|gct_v1.0				
PD							TGM85	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TGM85, assigned to a study in an GCT clinical trial.	ncit:C177332		
PD							TGM90	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TGM90, assigned to a study in an GCT clinical trial.	ncit:C177333		
PD							TGM95	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TGM95, assigned to a study in an GCT clinical trial.	ncit:C177334		
PD							GC1	gct_v1.2|gct_v1.1|gct_v1.0	The identifier GC1, assigned to a study in an GCT clinical trial.	ncit:C177335		
PD							GC2	gct_v1.2|gct_v1.1|gct_v1.0	The identifier GC2, assigned to a study in an GCT clinical trial.	ncit:C177336		
PD							GOG0078	gct_v1.2|gct_v1.1|gct_v1.0				
PD							GOG0090	gct_v1.2|gct_v1.1|gct_v1.0				
PD							GOG0116	gct_v1.2|gct_v1.1|gct_v1.0	The identifier GOG116, assigned to a study in an GCT clinical trial.	ncit:C177339		
PD							P9749	gct_v1.2|gct_v1.1|gct_v1.0|nbl_v1.1|nbl_v1.0	The identifier P9749, assigned to a study in an GCT clinical trial.	ncit:C177340		
PD							POG9049	gct_v1.2|gct_v1.1|gct_v1.0	The identifier POG9049, assigned to a study in an GCT clinical trial.	ncit:C177341		
PD							AGCT01P1	gct_v1.2|gct_v1.1|gct_v1.0	The identifier AGCT01P1, assigned to a study in an GCT clinical trial.	ncit:C177342		
PD							AGCT0132	gct_v1.2|gct_v1.1|gct_v1.0	The identifier AGCT0132, assigned to a study in an GCT clinical trial.	ncit:C177343		
PD							AGCT0521	gct_v1.2|gct_v1.1|gct_v1.0	The identifier AGCT0521, assigned to a study in an GCT clinical trial.	ncit:C177344		
PD							TE04	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TE04, assigned to a study in an GCT clinical trial.	ncit:C177345		
PD							TE05	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TE05, assigned to a study in an GCT clinical trial.	ncit:C177346		
PD							TE08	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TE08, assigned to a study in an GCT clinical trial.	ncit:C177347		
PD							TE22	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TE22, assigned to a study in an GCT clinical trial.	ncit:C177348		
PD							TE09	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TE09, assigned to a study in an GCT clinical trial.	ncit:C177349		
PD							TE13	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TE13, assigned to a study in an GCT clinical trial.	ncit:C177350		
PD							TE20	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TE20, assigned to a study in an GCT clinical trial.	ncit:C177351		
PD							TIP	gct_v1.2|gct_v1.1|gct_v1.0	The identifier TIP, assigned to a study in an GCT clinical trial.	ncit:C177352		
PD							AHOD0831	hl_v1.0	The identifier AHOD0831, assigned to a study in a HL clinical trial.	ncit:C185308		
PD							AHOD0431	hl_v1.0	The identifier AHOD0431, assigned to a study in a HL clinical trial.	ncit:C185310		
PD							AHOD0031	hl_v1.0	The identifier AHOD0031, assigned to a study in a HL clinical trial.	ncit:C185311		
PD							AHOD1331	hl_v1.0	The identifier AHOD1331, assigned to a study in a HL clinical trial.	ncit:C185312		
PD							AHOD1221	hl_v1.0	The identifier AHOD1221, assigned to a study in a HL clinical trial.	ncit:C185313		
PD							AHOD03P1	hl_v1.0	The identifier AHOD03P1, assigned to a study in a HL clinical trial.	ncit:C185314		
PD							St. Jude's Trials - TBD	hl_v1.0				
PD							892	nbl_v1.1|nbl_v1.0				
PD							896	nbl_v1.1|nbl_v1.0				
PD							901	nbl_v1.1|nbl_v1.0				
PD							902	nbl_v1.1|nbl_v1.0				
PD							911	nbl_v1.1|nbl_v1.0				
PD							914	nbl_v1.1|nbl_v1.0				
PD							924	nbl_v1.1|nbl_v1.0				
PD							925	nbl_v1.1|nbl_v1.0				
PD							926	nbl_v1.1|nbl_v1.0				
PD							927	nbl_v1.1|nbl_v1.0				
PD							931	nbl_v1.1|nbl_v1.0				
PD							935	nbl_v1.1|nbl_v1.0				
PD							936	nbl_v1.1|nbl_v1.0				
PD							937	nbl_v1.1|nbl_v1.0				
PD							961	nbl_v1.1|nbl_v1.0				
PD							962	nbl_v1.1|nbl_v1.0				
PD							9709	nbl_v1.1|nbl_v1.0				
PD							99	nbl_v1.1|nbl_v1.0				
PD							321P1	nbl_v1.1|nbl_v1.0				
PD							321P2	nbl_v1.1|nbl_v1.0				
PD							321P3	nbl_v1.1|nbl_v1.0				
PD							321P4	nbl_v1.1|nbl_v1.0				
PD							323P	nbl_v1.1|nbl_v1.0				
PD							3881	nbl_v1.1|nbl_v1.0				
PD							3891	nbl_v1.1|nbl_v1.0				
PD							3951	nbl_v1.1|nbl_v1.0				
PD							461	nbl_v1.1|nbl_v1.0				
PD							4941	nbl_v1.1|nbl_v1.0				
PD							4941L	nbl_v1.1|nbl_v1.0				
PD							7942	nbl_v1.1|nbl_v1.0				
PD							8105	nbl_v1.1|nbl_v1.0				
