INFO	Title	PCDC Data Model										
INFO	Name	pcdc_v2.0										
INFO	Release Notes	https://github.com/chicagopcdc/d4cg-modeling/tree/main/pcdc/pcdc/pcdc_v2.0										
INFO	Used By	aml_v2.0, gct_v2.0, hl_v2.0, nbl_v2.0, nrsts_v2.0, rms_v2.0										
INFO	License	Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/)										
INFO	D4CG Data Modeling Wiki	https://docs.pedscommons.org/										
INFO	Description	Each disease group in the PCDC network uses a disease-specific data dictionary as the target schema for their data harmonization efforts. The PCDC data model is the full collection these consensus data elements.										
INFO	Total Variables	409										
												
RowType	VariableName	DataType	Tier	VariableSource	VariableDescription	VariableCode	PermissibleValue	ValueSource	ValueDescription	ValueCode	ImplementationNotes	Mappings
PD							AML	aml_v2.0				
PD							GCT	gct_v2.0				
PD							HL	hl_v2.0				
PD							NBL	nbl_v2.0				
PD							NRSTS	nrsts_v2.0				
PD							RMS	rms_v2.0				
VD	DATA_CONTRIBUTOR_ID	Enum	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0 | nbl_v2.0 | nrsts_v2.0 | rms_v2.0	An identifier assigned to a data contributor.	ncit:C168950	_undefined_	_undefined_	_undefined_	_undefined_		
PD							AIEOP	aml_v2.0 | gct_v2.0 | nrsts_v2.0	A group from Bologna, Italy, comprised mainly of pediatricians, hematologists, oncologists, surgeons, biologists, nurses and psychologists who are devoted to addressing the problems of hematology, oncology and immunology in the child and adolescent.	ncit:C168887		
PD							BFM-SG	aml_v2.0	A study group formed in 1975 by three individuals, Hansjorg Riehm in Berlin (B), Bernhard Kornhuber in Frankfurt (F) and Gunther Schellong in Munster (M), who initiated the first multicenter BFM trial. The BFM treatment concept was based on an intensive chemotherapeutic approach employing eight different drugs which led to a revolutionary increase in the survival of children and adolescents with acute lymphoblastic leukemia.	ncit:C168888		
PD							COG	aml_v2.0 | gct_v2.0 | hl_v2.0 | nbl_v2.0 | nrsts_v2.0 | rms_v2.0	An NCI-supported clinical cooperative group formed by the merger of the four national pediatric cancer research organizations: the Children's Cancer Group, the Intergroup Rhabdomyosarcoma Study Group, the National Wilms Tumor Study Group, and the Pediatric Oncology Group. The primary objective of the organization is to conduct clinical trials of new therapies for childhood and adolescent cancer. COG develops and coordinates clinical trials conducted at the 238 member institutions that include cancer centers of all major universities and teaching hospitals throughout the U.S. and Canada, as well as sites in Europe and Australia. COG members include over 5000 cancer researchers.	ncit:C39353		
PD							DCOG	aml_v2.0	A collaborating partner in Innovative Therapies for Children with Cancer Consortium (ITCC), a European based consortium to promote the clinical evaluation of new anti-cancer compounds in children with cancer.	ncit:C168889		
PD							MRC	aml_v2.0 | gct_v2.0	A publicly funded organization that is part of United Kingdom Research and Innovation, and is dedicated to improving human health through world-class medical research.	ncit:C168892		
PD							NOPHO	aml_v2.0	A collaborative group formed in 1984 with members from Denmark, Finland, Iceland, Lithuania, Norway and Sweden and whose goal was to secure that all Nordic children suffering from leukemia would receive optimal therapy wherever they lived.	ncit:C168893		
PD							PPLLSG	aml_v2.0	A collaborative group established in 1974 that had the original goal of implementing unified protocols with standardized diagnostic criteria and therapy regimens for Hodgkin's disease and acute lymphoblastic leukemia. The prospects were widened to include non-Hodgkin's lymphomas and acute myelogenous leukemia in 1983.	ncit:C168894		
PD							JACLS	aml_v2.0	A study group in Japan investigating childhood leukemia.	ncit:C168890		
PD							JPLSG	aml_v2.0	A study group in Japan investigating pediatric leukemia and lymphoma.	ncit:C168891		
PD							SJCRH	aml_v2.0 | hl_v2.0 | nbl_v2.0	The Saint Jude Children's Research Hospital received its NCI designation in 1977 and was awarded status as a comprehensive cancer center by NCI in 2008. Research is focused specifically on childhood cancers, acquired and inherited immunodeficiencies and genetic disorders.	ncit:C39510		
PD							CCLG	gct_v2.0	A children's cancer charity and United Kingdom and Ireland's professional association for those involved in the treatment and care of children with cancer.	ncit:C177327		
PD							SFCE	gct_v2.0	An association founded in France in 2003 which promotes the organization of care and scientific research in the field of childhood and adolescent cancer.	ncit:C177328		
PD							SOPOBE	gct_v2.0	A society founded in 1981 committed to improve the prognosis of children and adolescents with cancer.	ncit:C177329		
PD							DFCI	gct_v2.0	An institute founded in 1947 in Boston, Massachusetts, committed to providing treatment for adults and children with cancer, and developing cures with cutting-edge research.	ncit:C177330		
PD							NRG-Oncology	gct_v2.0	A leading protocol organization within the National Clinical Trials Network that seeks to improve the lives of cancer patients by conducting practice-changing, multi-institutional clinical and translational research.	ncit:C177331		
PD							PHC	hl_v2.0	The Pediatric Hodgkin Consortium (PHC) includes St. Jude, Stanford, and Dana-Farber.			
PD							GPOH	nbl_v2.0				
PD							JCCG	nbl_v2.0				
PD							SIOPEN	nbl_v2.0				
PD							EpSSG	nrsts_v2.0 | rms_v2.0	European Paediatric Soft Tissue Sarcoma Study Group. An international organization of healthcare professionals devoted to the care and treatment of children and young people with soft tissue sarcoma.	ncit:C192774		
PD							SIOP MMT	nrsts_v2.0	International Society of Paediatric Oncology Malignant Mesenchymal Tumour Committee. An international pediatric oncology committee that specializes in the research of malignant mesenchymal tumors. Along with the Associazione Italiana Ematologia Oncologia Pediatrica-Soft Tissue Sarcoma Committee (AIEOP-STSC), which was formerly known as the Italian Cooperative Group (ICG), SIOP-MMT founded the European pediatric Soft tissue sarcoma Study Group (EpSSG) and the Non-rhabdomyosarcoma Soft Tissue Sarcoma (NRSTS) study in 2005 with the goal of making pediatric non-rhabdomyosarcoma soft tissue sarcoma treatment uniform across Europe.	ncit:C192775		
PD							CWS	nrsts_v2.0 | rms_v2.0	Cooperative Weichteilsarkom Studiengruppe. An international pediatric soft tissue sarcoma study group, also known as the Cooperative Soft Tissue Sarcoma Group, that creates guidance for risk-adapted treatment of soft tissue sarcoma and soft tissue tumors in children, adolescents, and young adults in Europe.	ncit:C192777		
PD							STSC	nrsts_v2.0 | rms_v2.0	AIEOP Soft Tissue Sarcoma Committee			
PD							MMT	rms_v2.0	International Society of Paediatric Oncology Malignant Mesenchymal Tumour Committee. An international pediatric oncology committee that specializes in the research of malignant mesenchymal tumors. Along with the Associazione Italiana Ematologia Oncologia Pediatrica-Soft Tissue Sarcoma Committee (AIEOP-STSC), which was formerly known as the Italian Cooperative Group (ICG), SIOP-MMT founded the European pediatric Soft tissue sarcoma Study Group (EpSSG) and the Non-rhabdomyosarcoma Soft Tissue Sarcoma (NRSTS) study in 2005 with the goal of making pediatric non-rhabdomyosarcoma soft tissue sarcoma treatment uniform across Europe.	ncit:C192775		
VD	AGE_AT_ENROLLMENT	Integer	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0	Age of subject (in days) when the subject enrolled in the study.	ncit:C168843	_undefined_	_undefined_	_undefined_	_undefined_		
VD	ENROLLED_STATUS	Enum	n/a	aml_v2.0	Enrollment Status	ncit:C168928	_undefined_	_undefined_	_undefined_	_undefined_		
PD							Enrolled	aml_v2.0	The study subject is enrolled.	ncit:C142715		
PD							Not Enrolled	aml_v2.0	The study subject is not enrolled.	ncit:C168929		
VD	STUDY_ID	Enum	n/a	aml_v2.0 | gct_v2.0 | hl_v2.0 | nbl_v2.0 | nrsts_v2.0 | rms_v2.0	Study Identifier	ncit:C83082	_undefined_	_undefined_	_undefined_	_undefined_		
PD							AML-BFM83/87	aml_v2.0				
PD							AML-BFM87/93	aml_v2.0				
PD							AML-BFM93	aml_v2.0				
PD							AML-BFM98	aml_v2.0				
PD							ML-DS-2006	aml_v2.0				
PD							AML-BFM2004 Interim	aml_v2.0				
PD							AML-BFM2019	aml_v2.0				
PD							AML-BFM2020	aml_v2.0				
PD							AML-BFM98 Interim 2003	aml_v2.0				
PD							APL	aml_v2.0				
PD							NOPHOAML1993	aml_v2.0				
PD							AAML03P1	aml_v2.0 | nbl_v2.0	The identifier AAML03P1, assigned to a study in a clinical trial.	ncit:C168936		
PD							AAML0531	aml_v2.0 | nbl_v2.0	The identifier AAML0531, assigned to a study in a clinical trial.	ncit:C168937		
PD							AAML1031	aml_v2.0 | nbl_v2.0	The identifier AAML1031, assigned to a study in a clinical trial.	ncit:C168938		
PD							AML-BFM2004	aml_v2.0	The identifier AML-BFM 2004, assigned to a study in a clinical trial.	ncit:C168939		
PD							AML-BFM2012	aml_v2.0	The identifier AMLBFM2012, assigned to a study in an AML clinical trial.	ncit:C173250		
PD							AML-BFM Registry2012	aml_v2.0	The identifier AMLBFMRegistry2012, assigned to a study in an AML clinical trial.	ncit:C173251		
PD							AML-BFM1998	aml_v2.0	The identifier AMLBFM1998, assigned to a study in an AML clinical trial.	ncit:C182032		
PD							AML-BFM Registry2017	aml_v2.0	The identifier AMLBFMRegistry2017, assigned to a study in an AML clinical trial.	ncit:C182031		
PD							SJCRHAML02	aml_v2.0	The identifier SJCRHAML02, assigned to a study in a clinical trial.	ncit:C168940		
PD							JPLSGAML05	aml_v2.0	The identifier JPLSGAML05, assigned to a study in a clinical trial.	ncit:C168941		
PD							AEIOPAML2002	aml_v2.0	The identifier AEIOPAML2002, assigned to a study in a clinical trial.	ncit:C168942		
PD							JACLSAML99	aml_v2.0	The identifier JACLSAML99, assigned to a study in a clinical trial.	ncit:C168943		
PD							DBAML01	aml_v2.0	The identifier DBAML01, assigned to a study in a clinical trial.	ncit:C168944		
PD							MRCAML12	aml_v2.0	The identifier MRCAML12, assigned to a study in a clinical trial.	ncit:C168945		
PD							MRCAML15	aml_v2.0	The identifier MRCAML15, assigned to a study in an AML clinical trial.	ncit:C173252		
PD							NOPHOAML2004	aml_v2.0	The identifier NOPHOAML2004, assigned to a study in a clinical trial.	ncit:C168946		
PD							NOPHOAML2012	aml_v2.0	The identifier NOPHOAML2012, assigned to a study in an AML clinical trial.	ncit:C173253		
PD							AIEOPLAM92	aml_v2.0	The identifier AIEOPLAM92, assigned to a study in an AML clinical trial.	ncit:C173254		
PD							SCFEELAM02	aml_v2.0	The identifier SCFEELAM02, assigned to a study in an AML clinical trial.	ncit:C173255		
PD							PPLLSGAML98	aml_v2.0	The identifier PPLLSGAML98, assigned to a study in a clinical trial.	ncit:C168947		
PD							TCGM2004	gct_v2.0				
PD							TGM85	gct_v2.0	The identifier TGM85, assigned to a study in an GCT clinical trial.	ncit:C177332		
PD							TGM90	gct_v2.0	The identifier TGM90, assigned to a study in an GCT clinical trial.	ncit:C177333		
PD							TGM95	gct_v2.0	The identifier TGM95, assigned to a study in an GCT clinical trial.	ncit:C177334		
PD							GC1	gct_v2.0	The identifier GC1, assigned to a study in an GCT clinical trial.	ncit:C177335		
PD							GC2	gct_v2.0	The identifier GC2, assigned to a study in an GCT clinical trial.	ncit:C177336		
PD							GOG0078	gct_v2.0				
PD							GOG0090	gct_v2.0				
PD							GOG0116	gct_v2.0	The identifier GOG116, assigned to a study in an GCT clinical trial.	ncit:C177339		
PD							P9749	gct_v2.0 | nbl_v2.0	The identifier P9749, assigned to a study in an GCT clinical trial.	ncit:C177340		
PD							POG9049	gct_v2.0	The identifier POG9049, assigned to a study in an GCT clinical trial.	ncit:C177341		
PD							AGCT01P1	gct_v2.0	The identifier AGCT01P1, assigned to a study in an GCT clinical trial.	ncit:C177342		
PD							AGCT0132	gct_v2.0	The identifier AGCT0132, assigned to a study in an GCT clinical trial.	ncit:C177343		
PD							AGCT0521	gct_v2.0	The identifier AGCT0521, assigned to a study in an GCT clinical trial.	ncit:C177344		
PD							TE04	gct_v2.0	The identifier TE04, assigned to a study in an GCT clinical trial.	ncit:C177345		
PD							TE05	gct_v2.0	The identifier TE05, assigned to a study in an GCT clinical trial.	ncit:C177346		
PD							TE08	gct_v2.0	The identifier TE08, assigned to a study in an GCT clinical trial.	ncit:C177347		
PD							TE22	gct_v2.0	The identifier TE22, assigned to a study in an GCT clinical trial.	ncit:C177348		
PD							TE09	gct_v2.0	The identifier TE09, assigned to a study in an GCT clinical trial.	ncit:C177349		
PD							TE13	gct_v2.0	The identifier TE13, assigned to a study in an GCT clinical trial.	ncit:C177350		
PD							TE20	gct_v2.0	The identifier TE20, assigned to a study in an GCT clinical trial.	ncit:C177351		
PD							TIP	gct_v2.0	The identifier TIP, assigned to a study in an GCT clinical trial.	ncit:C177352		
PD							AHOD0831	hl_v2.0	A Non-Randomized Phase III Study of Response Adapted Therapy for the Treatment of Children With Newly Diagnosed High Risk Hodgkin Lymphoma. This non-randomized phase III trial is studying how well giving combination chemotherapy together with radiation therapy works in treating young patients with newly diagnosed Hodgkin lymphoma. (ClinicalTrials.gov Identifier: NCT01026220)	ncit:C185308		
PD							AHOD0431	hl_v2.0	A Phase III Study for the Treatment of Children and Adolescents With Newly Diagnosed Low Risk Hodgkin Disease. This phase III trial is studying how well combination chemotherapy works when given before radiation therapy and/or additional chemotherapy in treating young patients with newly diagnosed Hodgkin's lymphoma. (ClinicalTrials.gov Identifier: NCT00302003)	ncit:C185310		
PD							AHOD0031	hl_v2.0	A Phase III Groupwide Study of Dose-Intensive Response-Based Chemotherapy and Radiation Therapy for Children and Adolescents With Newly Diagnosed Intermediate Risk Hodgkin Disease. This randomized phase III trial is studying different chemotherapy regimens given with or without radiation therapy to compare how well they work in treating children with newly diagnosed Hodgkin's disease. (ClinicalTrials.gov Identifier: NCT00025259)	ncit:C185311		
PD							AHOD1331	hl_v2.0	A Randomized Phase 3 Study of Brentuximab Vedotin (SGN-35) for Newly Diagnosed High-Risk Classical Hodgkin Lymphoma (cHL) in Children and Young Adults. This phase III trial studies brentuximab vedotin and combination chemotherapy to see how well they work compared to combination chemotherapy alone in treating children and young adults with stage IIB with bulk, stage IIIB, IVA, or IVB Hodgkin lymphoma. (ClinicalTrials.gov Identifier: NCT02166463)	ncit:C185312		
PD							AHOD1221	hl_v2.0	A Phase 1/2 Study of Brentuximab Vedotin (SGN35) in Combination With Gemcitabine for Pediatric and Young Adult Patients With Relapsed or Refractory Hodgkin Lymphoma. This phase I/II trial studies the side effects and the best dose of brentuximab vedotin when given together with gemcitabine hydrochloride and to see how well they work in treating younger patients with Hodgkin lymphoma that has returned or does not respond to treatment. (ClinicalTrials.gov Identifier: NCT01780662)	ncit:C185313		
PD							AHOD03P1	hl_v2.0	Treatment of Children With Newly-Diagnosed Low Stage Lymphocyte Predominant Hodgkin Disease (LPHD). This clinical trial is studying how well surgery and/or combination chemotherapy with or without radiation therapy or observation only work in treating young patients with newly diagnosed stage I or stage II lymphocyte predominant Hodgkin disease (LPHD). (ClinicalTrials.gov Identifier: NCT00107198)	ncit:C185314		
PD							HOD05	hl_v2.0	Stanford V Chemotherapy With Low-Dose Tailored-Field Radiation Therapy for Intermediate Risk Pediatric Hodgkin Lymphoma. The main purpose of this protocol is to estimate the percentage of patients with intermediate risk Hodgkin lymphoma who will survive free of disease (Event-free survival) for three years after treatment with multi-agent chemotherapy (Stanford V) and low-dose, tailored-field radiation therapy. The hypothesis being studied is that this treatment will result in more than 80% of patients being alive and free of disease three years after starting treatment. (ClinicalTrials.gov Identifier: NCT00352027)			
PD							HOD08	hl_v2.0	Reduced Duration Stanford V Chemotherapy With Or Without Low-Dose Tailored-Field Radiation Therapy For Favorable Risk Pediatric Hodgkin Lymphoma. This is a phase II clinical trial using risk-adapted, multi-modality therapy. The goals of this study are to 1) Increase the proportion of patients that will be in complete remission at the end of 8 weeks of chemotherapy and therefore will not require radiation therapy; 2) maintain treatment outcomes by using a combined-modality approach with an abbreviated dose-intensive chemotherapy regimen with limited-volume, conformal radiotherapy for patients that are not in CR at the end of chemotherapy; and 3) reduce acute and long-term treatment sequelae by a) minimizing the cumulative doses of anthracyclines, bleomycin, and alkylating agents, b) increasing the number of complete responders, thus decreasing the number of patients requiring radiation, and c) tailoring the volume of radiation to initially involved nodal sites. (ClinicalTrials.gov Identifier: NCT00846742)			
PD							HOD99	hl_v2.0	Risk-Adapted Therapy for Pediatric Hodgkin's Disease. With the success of current chemotherapy for Hodgkin's disease, the goal of this protocol is to maintain the currently successful cure rate and reduce treatment related side effects and long term toxicity. The main purpose of this study is to estimate the event free survival of patients treated with risk-adapted therapy compared to historical controls. (ClinicalTrials.gov Identifier: NCT00145600)			
PD							cHOD17	hl_v2.0	Pediatric Classical Hodgkin Lymphoma Consortium Study: cHOD17. This is a non-randomized phase II study using risk and response-adapted therapy for low, intermediate and high risk classical Hodgkin lymphoma. (ClinicalTrials.gov Identifier: NCT03755804)			
PD							HLHR13	hl_v2.0	Adcetris (Brentuximab Vedotin), Substituting Vincristine in the OEPA/COPDac Regimen [Treatment Group 3 (TG3) of Euro-Net C1] With Involved Node Radiation Therapy for High Risk Pediatric Hodgkin Lymphoma (HL). This pilot phase II trial studies how well giving brentuximab vedotin, combination chemotherapy, and radiation therapy works in treating younger patients with stage IIB, IIIB or IV Hodgkin lymphoma. (ClinicalTrials.gov Identifier: NCT01920932)			
PD							892	nbl_v2.0				
PD							896	nbl_v2.0				
PD							901	nbl_v2.0				
PD							902	nbl_v2.0				
PD							911	nbl_v2.0				
PD							914	nbl_v2.0				
PD							924	nbl_v2.0				
PD							925	nbl_v2.0				
PD							926	nbl_v2.0				
PD							927	nbl_v2.0				
PD							931	nbl_v2.0				
PD							935	nbl_v2.0				
PD							936	nbl_v2.0				
PD							937	nbl_v2.0				
PD							961	nbl_v2.0				
PD							962	nbl_v2.0				
PD							9709	nbl_v2.0				
PD							99	nbl_v2.0				
PD							321P1	nbl_v2.0				
PD							321P2	nbl_v2.0				
PD							321P3	nbl_v2.0				
PD							321P4	nbl_v2.0				
PD							323P	nbl_v2.0				
PD							3881	nbl_v2.0				
PD							3891	nbl_v2.0				
PD							3951	nbl_v2.0				
PD							461	nbl_v2.0				
PD							4941	nbl_v2.0				
PD							4941L	nbl_v2.0				
PD							7942	nbl_v2.0				
PD							8105	nbl_v2.0				
PD							8340	nbl_v2.0				
PD							8441	nbl_v2.0				
PD							8605	nbl_v2.0				
PD							8607	nbl_v2.0				
PD							8661	nbl_v2.0				
PD							8671	nbl_v2.0				
PD							8741	nbl_v2.0				
PD							8742	nbl_v2.0				
PD							8743	nbl_v2.0				
PD							8863	nbl_v2.0				
PD							8970	nbl_v2.0				
PD							9000	nbl_v2.0				
PD							9047	nbl_v2.0				
PD							9072	nbl_v2.0				
PD							9075	nbl_v2.0				
PD							9082	nbl_v2.0				
PD							9140	nbl_v2.0				
PD							9243	nbl_v2.0				
PD							9244	nbl_v2.0				
PD							9248	nbl_v2.0				
PD							9262	nbl_v2.0				
PD							9272	nbl_v2.0				
PD							9275	nbl_v2.0				
PD							9280	nbl_v2.0				
PD							9284	nbl_v2.0				
PD							9285	nbl_v2.0				
PD							9340	nbl_v2.0				
PD							9341	nbl_v2.0				
PD							9342	nbl_v2.0				
PD							9343	nbl_v2.0				
PD							9346	nbl_v2.0				
PD							9347	nbl_v2.0				
PD							9360	nbl_v2.0				
PD							9361	nbl_v2.0				
PD							9372	nbl_v2.0				
PD							9375	nbl_v2.0				
PD							9376	nbl_v2.0				
PD							9382	nbl_v2.0				
PD							9464	nbl_v2.0				
PD							9466	nbl_v2.0				
PD							9470	nbl_v2.0				
PD							9571	nbl_v2.0				
PD							9572	nbl_v2.0				
PD							9579	nbl_v2.0				
PD							9581	nbl_v2.0				
PD							9640	nbl_v2.0				
PD							9670	nbl_v2.0				
PD							9675	nbl_v2.0				
PD							9900	nbl_v2.0				
PD							9907	nbl_v2.0				
PD							A0935A	nbl_v2.0				
PD							A09713	nbl_v2.0				
PD							A3961	nbl_v2.0				
PD							A3973	nbl_v2.0				
PD							AADM01P1	nbl_v2.0				
PD							AALL0232	nbl_v2.0				
PD							AALL0331	nbl_v2.0				
PD							AALL03B1	nbl_v2.0				
PD							AALL0434	nbl_v2.0				
PD							AALL08B1	nbl_v2.0				
PD							AAML00P2	nbl_v2.0				
PD							AAML05P1	nbl_v2.0				
PD							AAML07P1	nbl_v2.0				
PD							AB9804	nbl_v2.0				
PD							ABTR01B1	nbl_v2.0				
PD							ABTR04B1	nbl_v2.0				
PD							ACCL0331	nbl_v2.0				
PD							ACCL0423	nbl_v2.0				
PD							ACCL0431	nbl_v2.0				
PD							ACCL05C1	nbl_v2.0				
PD							ACCL0934	nbl_v2.0				
PD							ACCL0935	nbl_v2.0				
PD							ACCL1031	nbl_v2.0				
PD							ACCL1032	nbl_v2.0				
PD							ACCL1034	nbl_v2.0				
PD							ACCL15N1CD	nbl_v2.0				
PD							ACCL1633	nbl_v2.0				
PD							ACCL21C2	nbl_v2.0				
PD							ACNS02B3	nbl_v2.0				
PD							ADVL0016	nbl_v2.0				
PD							ADVL0017	nbl_v2.0				
PD							ADVL0018	nbl_v2.0				
PD							ADVL0122	nbl_v2.0				
PD							ADVL0211	nbl_v2.0				
PD							ADVL0212	nbl_v2.0				
PD							ADVL0214	nbl_v2.0				
PD							ADVL0215	nbl_v2.0				
PD							ADVL0314	nbl_v2.0				
PD							ADVL0316	nbl_v2.0				
PD							ADVL0413	nbl_v2.0				
PD							ADVL0414	nbl_v2.0				
PD							ADVL0416	nbl_v2.0				
PD							ADVL0421	nbl_v2.0				
PD							ADVL0516	nbl_v2.0				
PD							ADVL0517	nbl_v2.0				
PD							ADVL0524	nbl_v2.0				
PD							ADVL0525	nbl_v2.0				
PD							ADVL0612	nbl_v2.0				
PD							ADVL06B1	nbl_v2.0				
PD							ADVL0714	nbl_v2.0				
PD							ADVL0812	nbl_v2.0				
PD							ADVL0813	nbl_v2.0				
PD							ADVL0816	nbl_v2.0				
PD							ADVL0821	nbl_v2.0				
PD							ADVL0911	nbl_v2.0				
PD							ADVL0912	nbl_v2.0				
PD							ADVL0916	nbl_v2.0				
PD							ADVL0918	nbl_v2.0				
PD							ADVL0921	nbl_v2.0				
PD							ADVL1011	nbl_v2.0				
PD							ADVL1013	nbl_v2.0				
PD							ADVL1014	nbl_v2.0				
PD							ADVL1111	nbl_v2.0				
PD							ADVL1112	nbl_v2.0				
PD							ADVL1115	nbl_v2.0				
PD							ADVL1211	nbl_v2.0				
PD							ADVL1212	nbl_v2.0				
PD							ADVL1213	nbl_v2.0				
PD							ADVL1312	nbl_v2.0				
PD							ADVL1314	nbl_v2.0				
PD							ADVL1315	nbl_v2.0				
PD							ADVL1411	nbl_v2.0				
PD							ADVL1412	nbl_v2.0				
PD							ADVL1414	nbl_v2.0				
PD							ADVL1416	nbl_v2.0				
PD							ADVL1513	nbl_v2.0				
PD							ADVL1522	nbl_v2.0				
PD							ADVL1615	nbl_v2.0				
PD							ADVL1622	nbl_v2.0				
PD							AEPI07N1	nbl_v2.0				
PD							AEWS07B1	nbl_v2.0				
PD							AGCT1531	nbl_v2.0				
PD							AHEP1531	nbl_v2.0				
PD							ALTE03N1	nbl_v2.0				
PD							ALTE05N1	nbl_v2.0				
PD							ALTE15N2	nbl_v2.0				
PD							ALTE1621	nbl_v2.0				
PD							ANBL0032	nbl_v2.0				
PD							ANBL00B1	nbl_v2.0				
PD							ANBL00P1	nbl_v2.0				
PD							ANBL00P2	nbl_v2.0				
PD							ANBL00P3	nbl_v2.0				
PD							ANBL02P1	nbl_v2.0				
PD							ANBL0321	nbl_v2.0				
PD							ANBL0322	nbl_v2.0				
PD							ANBL0421	nbl_v2.0				
PD							ANBL0531	nbl_v2.0				
PD							ANBL0532	nbl_v2.0				
PD							ANBL0621	nbl_v2.0				
PD							ANBL0931	nbl_v2.0				
PD							ANBL09P1	nbl_v2.0				
PD							ANBL1021	nbl_v2.0				
PD							ANBL1221	nbl_v2.0				
PD							ANBL1232	nbl_v2.0				
PD							ANBL12P1	nbl_v2.0				
PD							ANBL1531	nbl_v2.0				
PD							ANBL17P1	nbl_v2.0				
PD							ANBL1821	nbl_v2.0				
PD							ANBL19P1	nbl_v2.0				
PD							ANUR0631	nbl_v2.0				
PD							ANUR1131	nbl_v2.0				
PD							AOST06B1	nbl_v2.0				
PD							APEC14B1	nbl_v2.0				
PD							APEC1621E	nbl_v2.0				
PD							APEC1621F	nbl_v2.0				
PD							APEC1621H	nbl_v2.0				
PD							APEC1621I	nbl_v2.0				
PD							APEC1621SC	nbl_v2.0				
PD							AREN0321	nbl_v2.0				
PD							AREN03B2	nbl_v2.0				
PD							AS942	nbl_v2.0				
PD							AS972	nbl_v2.0				
PD							AS9801	nbl_v2.0				
PD							B003	nbl_v2.0				
PD							B903	nbl_v2.0				
PD							B904	nbl_v2.0				
PD							B925	nbl_v2.0				
PD							B947	nbl_v2.0				
PD							B953	nbl_v2.0				
PD							B954	nbl_v2.0				
PD							B973	nbl_v2.0				
PD							D9501	nbl_v2.0				
PD							D9602	nbl_v2.0 | rms_v2.0				
PD							E04	nbl_v2.0				
PD							E15	nbl_v2.0				
